symbol,ohlcv_rows,ohlcv_earliest,ohlcv_latest,median_quote_volume,gap_count,max_gap_hours,feature_rows,feature_earliest,feature_latest,target_rows,target_earliest,target_latest,ohlcv_pass,feature_pass,target_pass,gap_pass,quality_status,failure_reason
BTCUSDT,18707,2024-04-26 16:30:00+05:30,2026-06-15 02:30:00+05:30,55796023.3350704,0,1.0,18647,2024-04-29 04:30:00+05:30,2026-06-15 02:30:00+05:30,18623,2024-04-29 04:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
ETHUSDT,18707,2024-04-26 16:30:00+05:30,2026-06-15 02:30:00+05:30,36963894.60091,0,1.0,18647,2024-04-29 04:30:00+05:30,2026-06-15 02:30:00+05:30,18623,2024-04-29 04:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
BNBUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,4966237.95538,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
SOLUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,16744130.178665001,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
XRPUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,9011512.124035,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
DOGEUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,5221339.91518,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
ADAUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,2102172.05349,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
TRXUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,2408991.47272,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
LINKUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1488304.839,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
AVAXUSDT,17520,2024-06-15 03:30:00+05:30,2026-06-15 02:30:00+05:30,1554435.0470500002,0,1.0,17460,2024-06-17 15:30:00+05:30,2026-06-15 02:30:00+05:30,17436,2024-06-17 15:30:00+05:30,2026-06-14 02:30:00+05:30,True,True,True,True,pass,
