fold,method,train_rows,test_assignment_rows,test_prediction_rows
1,global_lgbm,85220,14400,14400
1,regime_lgbm_contrastive,85220,14400,14400
1,regime_lgbm_contrastive_hmm,85220,14400,14400
1,regime_lgbm_hmm,85220,14400,14400
1,regime_lgbm_kmeans,85220,14400,14400
1,regime_lgbm_vol_bucket,85220,14400,14400
1,regime_lgbm_hmm_guided_gmm,85220,14400,14400
1,regime_lgbm_hmm_guided_hmm,85220,14400,14400
2,global_lgbm,99620,14400,14400
2,regime_lgbm_contrastive,99620,14400,14400
2,regime_lgbm_contrastive_hmm,99620,14400,14400
2,regime_lgbm_hmm,99620,14400,14400
2,regime_lgbm_kmeans,99620,14400,14400
2,regime_lgbm_vol_bucket,99620,14400,14400
2,regime_lgbm_hmm_guided_gmm,99620,14400,14400
2,regime_lgbm_hmm_guided_hmm,99620,14400,14400
3,global_lgbm,114020,14400,14400
3,regime_lgbm_contrastive,114020,14400,14400
3,regime_lgbm_contrastive_hmm,114020,14400,14400
3,regime_lgbm_hmm,114020,14400,14400
3,regime_lgbm_kmeans,114020,14400,14400
3,regime_lgbm_vol_bucket,114020,14400,14400
3,regime_lgbm_hmm_guided_gmm,114020,14400,14400
3,regime_lgbm_hmm_guided_hmm,114020,14400,14400
4,global_lgbm,128420,14400,14400
4,regime_lgbm_contrastive,128420,14400,14400
4,regime_lgbm_contrastive_hmm,128420,14400,14400
4,regime_lgbm_hmm,128420,14400,14400
4,regime_lgbm_kmeans,128420,14400,14400
4,regime_lgbm_vol_bucket,128420,14400,14400
4,regime_lgbm_hmm_guided_gmm,128420,14400,14400
4,regime_lgbm_hmm_guided_hmm,128420,14400,14400
5,global_lgbm,142820,14400,14400
5,regime_lgbm_contrastive,142820,14400,14400
5,regime_lgbm_contrastive_hmm,142820,14400,14400
5,regime_lgbm_hmm,142820,14400,14400
5,regime_lgbm_kmeans,142820,14400,14400
5,regime_lgbm_vol_bucket,142820,14400,14400
5,regime_lgbm_hmm_guided_gmm,142820,14400,14400
5,regime_lgbm_hmm_guided_hmm,142820,14400,14400
6,global_lgbm,157220,14400,14400
6,regime_lgbm_contrastive,157220,14400,14400
6,regime_lgbm_contrastive_hmm,157220,14400,14400
6,regime_lgbm_hmm,157220,14400,14400
6,regime_lgbm_kmeans,157220,14400,14400
6,regime_lgbm_vol_bucket,157220,14400,14400
6,regime_lgbm_hmm_guided_gmm,157220,14400,14400
6,regime_lgbm_hmm_guided_hmm,157220,14400,14400
7,global_lgbm,171620,14400,14400
7,regime_lgbm_contrastive,171620,14400,14400
7,regime_lgbm_contrastive_hmm,171620,14400,14400
7,regime_lgbm_hmm,171620,14400,14400
7,regime_lgbm_kmeans,171620,14400,14400
7,regime_lgbm_vol_bucket,171620,14400,14400
7,regime_lgbm_hmm_guided_gmm,171620,14400,14400
7,regime_lgbm_hmm_guided_hmm,171620,14400,14400
8,global_lgbm,186020,14400,14400
8,regime_lgbm_contrastive,186020,14400,14400
8,regime_lgbm_contrastive_hmm,186020,14400,14400
8,regime_lgbm_hmm,186020,14400,14400
8,regime_lgbm_kmeans,186020,14400,14400
