fold,encoder_method,stage,epoch,train_loss,validation_loss,loss,train_valid_anchor_pct,train_positive_pair_count,train_hard_negative_pair_count,validation_valid_anchor_pct,validation_positive_pair_count,validation_hard_negative_pair_count,valid_anchor_pct,positive_pair_count,hard_negative_pair_count
1,vanilla,inner_selection,1,0.6277552611747523,2.965099388360977,,,,,,,,,,
1,vanilla,inner_selection,2,0.18610187899321318,2.6782243847846985,,,,,,,,,,
1,vanilla,inner_selection,3,0.12873205121140927,2.6199600040912627,,,,,,,,,,
1,vanilla,inner_selection,4,0.11489309406169923,2.5635811895132066,,,,,,,,,,
1,vanilla,inner_selection,5,0.0999488180037588,2.4474743783473967,,,,,,,,,,
1,vanilla,inner_selection,6,0.08647755102429074,2.4823877215385437,,,,,,,,,,
1,vanilla,inner_selection,7,0.09208147377939895,2.487908956408501,,,,,,,,,,
1,vanilla,inner_selection,8,0.08046447822707706,2.492327332496643,,,,,,,,,,
1,vanilla,outer_refit,1,,,0.5858618471655064,,,,,,,,,
1,vanilla,outer_refit,2,,,0.17349052131175996,,,,,,,,,
1,vanilla,outer_refit,3,,,0.12505603290046566,,,,,,,,,
1,vanilla,outer_refit,4,,,0.10648936087964103,,,,,,,,,
1,vanilla,outer_refit,5,,,0.09562898385920562,,,,,,,,,
1,guided,inner_selection,1,1.0000828757882119,1.302054950594902,,0.996875,4770.5,4.45,0.9900390625,6652.7,655.85,,,
1,guided,inner_selection,2,0.8932954430580139,1.2256196737289429,,0.996875,4750.8,4.9,0.9900390625,6652.7,655.85,,,
1,guided,inner_selection,3,0.8544762566685676,1.2894892752170564,,1.0,4766.3,5.75,0.9900390625,6652.7,655.85,,,
1,guided,inner_selection,4,0.8315599441528321,1.298190611600876,,0.996875,4775.55,4.9,0.9900390625,6652.7,655.85,,,
1,guided,inner_selection,5,0.8096384391188621,1.2465403065085412,,0.996875,4762.0,5.7,0.9900390625,6652.7,655.85,,,
1,guided,outer_refit,1,,,0.9926019608974457,,,,,,,0.990625,4353.5,3.65
1,guided,outer_refit,2,,,0.9154321521520614,,,,,,,0.996875,4329.55,3.55
2,vanilla,inner_selection,1,0.6844021135562798,2.516245260834694,,,,,,,,,,
2,vanilla,inner_selection,2,0.18491066873903036,2.3730974555015565,,,,,,,,,,
2,vanilla,inner_selection,3,0.1294137910590507,2.293350648880005,,,,,,,,,,
2,vanilla,inner_selection,4,0.10978103728266433,2.220337364077568,,,,,,,,,,
2,vanilla,inner_selection,5,0.09616357552513363,2.2123106777668,,,,,,,,,,
2,vanilla,inner_selection,6,0.08858066494576633,2.1704647660255434,,,,,,,,,,
2,vanilla,inner_selection,7,0.08991078189428663,2.1497734397649766,,,,,,,,,,
2,vanilla,inner_selection,8,0.07555979245807976,2.1479468405246736,,,,,,,,,,
2,vanilla,inner_selection,9,0.07441865718428745,2.1311349093914034,,,,,,,,,,
2,vanilla,inner_selection,10,0.06610349413240328,2.0856946289539335,,,,,,,,,,
2,vanilla,inner_selection,11,0.07082488712039776,2.1142121642827987,,,,,,,,,,
2,vanilla,inner_selection,12,0.07275332551216707,2.0851532340049745,,,,,,,,,,
2,vanilla,inner_selection,13,0.06550387929019053,2.0965799301862718,,,,,,,,,,
2,vanilla,inner_selection,14,0.06829836118849926,2.072045382857323,,,,,,,,,,
2,vanilla,inner_selection,15,0.06455518194125034,2.080063506960869,,,,,,,,,,
2,vanilla,inner_selection,16,0.06328964932181406,2.0823902398347856,,,,,,,,,,
2,vanilla,inner_selection,17,0.06435617341194302,2.080901527404785,,,,,,,,,,
2,vanilla,outer_refit,1,,,0.5699974258524889,,,,,,,,,
2,vanilla,outer_refit,2,,,0.16817345909075812,,,,,,,,,
2,vanilla,outer_refit,3,,,0.11670713538696872,,,,,,,,,
