fold,encoder_method,outer_train_end,inner_train_end,inner_validation_start,inner_validation_end,outer_test_start,outer_test_end,seed,run_kind,window_cap,selected_epoch,max_epochs,train_windows,validation_windows,scaler_training_rows,device,runtime_seconds,input_hash,model_hash,created_utc,python_version,torch_version
1,vanilla,4320,3472,3600,4320,4440,5160,42,full,5000,5,30,5000,5000,86400,cpu,628.0017292000011,ceaf4c8f6e84e4c2c5512a8cdf94bb567e009d4863ff98379a1640555cfddb31,a75aeec04cb4d9866e44051f326b3a8ea2cbff382b24f9abf549555dafb1d166,2026-06-19T14:49:57.867255+00:00,3.11.3,2.11.0+cpu
1,guided,4320,3472,3600,4320,4440,5160,42,full,5000,2,30,5000,5000,86400,cpu,241.7188274,ec1cffbf7decb84f2e3ebdec5ab6e7b1899e8333cffc9b646124be0453517d53,f584722ee05880b9e97a693669b52ec7666d8261df174c0033c1886dc44131c5,2026-06-19T14:49:57.897424+00:00,3.11.3,2.11.0+cpu
2,vanilla,5040,4192,4320,5040,5160,5880,42,full,5000,14,30,5000,5000,100800,cpu,1293.971657099999,f72e81c5f6a0771eb832de2cb7246110210ba3b46f25d0bb8cf1bf357f8fb349,d5451e3de37e04bab841cc8793cf1af3a1cf62c5fe3c3b7c0bf5509e952b6b3a,2026-06-19T15:22:18.991568+00:00,3.11.3,2.11.0+cpu
2,guided,5040,4192,4320,5040,5160,5880,42,full,5000,2,30,5000,5000,100800,cpu,187.36645999999928,04956f07f16fc967525f039bb265e356d060a938f822457f7d3675fadcd2ca38,8292b0b4c40c4cd2424008f9fed7cd40f8f246dacda30cac6a2e35e3d4e5b31d,2026-06-19T15:22:19.001725+00:00,3.11.3,2.11.0+cpu
3,vanilla,5760,4912,5040,5760,5880,6600,42,full,5000,13,30,5000,5000,115200,cpu,1608.2722224000008,ad9fa6029b7f04cccc0035d1a1f9bade8fae7368c9486311a2c948fbc1fc22ee,bafe6f7aaa6210ffd263a38e493094db8d6f7c74def83162622cc49281a78104,2026-06-19T16:03:38.955817+00:00,3.11.3,2.11.0+cpu
3,guided,5760,4912,5040,5760,5880,6600,42,full,5000,3,30,5000,5000,115200,cpu,443.48618499999975,7351d0756d1cb0f71855c00145d75d72609c1b608e457e7fef92b04285683622,38742a68b621ec9495b91ffb243a48acace30fe1df385f505de316414c096c25,2026-06-19T16:03:38.964096+00:00,3.11.3,2.11.0+cpu
4,vanilla,6480,5632,5760,6480,6600,7320,42,full,5000,24,30,5000,5000,129600,cpu,1890.2173052000016,9c397cdbc007d275c01dfcd7324a1f75c42fff714fbd817ee763fb72f706b26b,9add0f97cd122b3e56a502972d26faa25078c137d42d32c6d3ebe30bde39a157,2026-06-19T17:01:20.768212+00:00,3.11.3,2.11.0+cpu
4,guided,6480,5632,5760,6480,6600,7320,42,full,5000,22,30,5000,5000,129600,cpu,1212.1081182999988,144a9040bd5b7e12855e7bf0c9c2ca32229cb265092901bcf853b28a460d6104,d2b990b5737a6081e44931f58b5498a521f6af545de013a2f156122e3b6365f2,2026-06-19T17:01:20.782292+00:00,3.11.3,2.11.0+cpu
5,vanilla,7200,6352,6480,7200,7320,8040,42,full,5000,12,30,5000,5000,144000,cpu,1741.4286457000017,709104badfa88fa280dbaf9462d7676d0374f2f09f8b999afa6781fec7f8cfee,84d084a15f03a12471e30a1b0ee3cae5b0b7d470b550057b5f903c7382e8838c,2026-06-19T17:46:09.516920+00:00,3.11.3,2.11.0+cpu
5,guided,7200,6352,6480,7200,7320,8040,42,full,5000,2,30,5000,5000,144000,cpu,407.6518102000009,b56f3988ccdc750041b17fdbafd23febd3196a5af58073df70ec75e1c777acce,2d20c485433d26538d5638a4f5e77b0e09e69dd0741aacb68f95e2b5cdc7e9ad,2026-06-19T17:46:09.527425+00:00,3.11.3,2.11.0+cpu
6,vanilla,7920,7072,7200,7920,8040,8760,42,full,5000,11,30,5000,5000,158400,cpu,1377.2746628999994,3939824e5cbc4556c1f85c2eb72d431425794c3217cb9e0ddf5b285f3442f742,95e052ccf29f13eebc324d07d6ff3a4c7401eb9c1e15e97c17c719e8ac28ba8b,2026-06-19T18:44:55.219960+00:00,3.11.3,2.11.0+cpu
6,guided,7920,7072,7200,7920,8040,8760,42,full,5000,27,30,5000,5000,158400,cpu,1653.1335779,cd495d742f17f3c770172130b9ea43ea4808ba625272f6a04628df061128f014,0a86ca2cf54e363a524c19d24dc7098d3c112f4b77789c79cd44969df80a7818,2026-06-19T18:44:55.229920+00:00,3.11.3,2.11.0+cpu
7,vanilla,8640,7792,7920,8640,8760,9480,42,full,5000,6,30,5000,5000,172800,cpu,902.2887758999968,408dcad65431e7fcb01f598e07507806ab6c9d8da8832cd4e65975639224d89c,d6e7896e56ebafb800f04dc11be4d018549997473b43aff9f723c0676f2e5845,2026-06-19T19:08:03.319560+00:00,3.11.3,2.11.0+cpu
7,guided,8640,7792,7920,8640,8760,9480,42,full,5000,2,30,5000,5000,172800,cpu,180.01961239999946,2fbae9c8d3c39ed9a202fbd9478d9364f1c373770c31a4fc6f85f27d6ec0df7c,796dd2b0ac000c165448f0676f32e63b076fb5f9a5826d6240317b95ee1a8b21,2026-06-19T19:08:03.327800+00:00,3.11.3,2.11.0+cpu
8,vanilla,9360,8512,8640,9360,9480,10200,42,full,5000,18,30,5000,5000,187200,cpu,1180.2347379999992,060264d2176510b4cc4c528dd6e342836f0309560578684d1008d474f02de194,7d43b128cebc05829110a6dc8a631e504d3ca1482839c187985474fd81c41273,2026-06-19T19:38:15.189828+00:00,3.11.3,2.11.0+cpu
