comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_vol_bucket vs regime_lgbm_hmm,IC,reference_better,-0.005005888003170437,-0.44121309531443914,small,0.09793395860905506,0.8153084008771335,1.0,0.29572214952538195,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,IC,method_better,0.006469773490027154,0.42836921929785804,small,0.10720942687072423,0.8153084008771335,1.0,0.3175048411171448,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,IC,reference_better,-0.0053546365430040595,-0.42316825479183456,small,0.1111784183014273,0.8153084008771335,1.0,0.31857445927013966,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,IC,reference_better,-0.004305162815984219,-0.3695130914553868,small,0.16008323171122002,0.8663368493638747,1.0,0.4178443675174217,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs global_lgbm,IC,method_better,0.00647202557124412,0.24607260106271586,small,0.3405839624391792,0.8663368493638747,1.0,0.690130660732021,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,IC,method_better,0.004687841917245153,0.22373213427607466,small,0.38496102346409244,0.8663368493638747,1.0,0.7410499701683779,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_contrastive_hmm,IC,reference_better,-0.0050081400843874045,-0.18579410995173753,tiny,0.46885568935087,0.8663368493638747,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,IC,reference_better,-0.0035727049702220584,-0.18292009104264126,tiny,0.4756403508582122,0.8663368493638747,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_contrastive_hmm,IC,reference_better,-0.005356888624221026,-0.17766460265337838,tiny,0.4881993259562429,0.8663368493638747,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_contrastive_hmm,IC,reference_better,-0.004307414897201186,-0.17651099256280497,tiny,0.49098229074332445,0.8663368493638747,1.0,0.7989023073844788,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,IC,reference_better,-0.0032239564303884367,-0.1403548070302473,tiny,0.5828030503234893,0.8663368493638747,1.0,0.8191038734235297,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,IC,method_better,0.002164610674042935,0.11737364672074574,tiny,0.6454682291035183,0.8663368493638747,1.0,0.856539707971731,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,IC,reference_better,-0.003386432562957953,-0.11531641378071099,tiny,0.6512258571637716,0.8663368493638747,1.0,0.856539707971731,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs global_lgbm,IC,method_better,0.0030833409270692,0.11526337318489475,tiny,0.6513746090484306,0.8663368493638747,1.0,0.856539707971731,1.0,not_significant,paired_t,16.0,
