comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_contrastive vs regime_lgbm_kmeans,IC,method_better,0.010723649015195572,0.5199649701711323,medium,0.05510110808102026,0.49590997272918236,0.9367188373773445,0.20419822406495744,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,IC,method_better,0.006464040185569655,0.3772093616169197,small,0.15211356201331033,0.912681372079862,1.0,0.4457281119459791,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,IC,reference_better,-0.005924265330414224,-0.27716744687031825,small,0.28503267959750805,0.9259794629659461,1.0,0.6368938316305987,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,IC,method_better,0.0046357790149217475,0.2375700259321536,small,0.3570311877635338,0.9259794629659461,1.0,0.7076280678348672,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,IC,reference_better,-0.005403908684759424,-0.2235545111819811,small,0.3853288833886892,0.9259794629659461,1.0,0.7106598519874431,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,IC,method_better,0.004654151014934231,0.18899247383959816,tiny,0.46137516557118746,0.9259794629659461,1.0,0.7493470922165847,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,IC,method_better,0.0041143761597788,0.18286291251470962,tiny,0.47577593156608555,0.9259794629659461,1.0,0.7493470922165847,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,IC,method_better,0.0047993836847813505,0.17950231323927002,tiny,0.48378546725075167,0.9259794629659461,1.0,0.752555171278947,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,IC,method_better,0.003476743033846587,0.15616409198904696,tiny,0.5415824110331866,0.9259794629659461,1.0,0.8089787432503631,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,IC,reference_better,-0.0024475222965676365,-0.12945086032492847,tiny,0.6121477162738347,0.9259794629659461,1.0,0.848295448927705,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,IC,reference_better,-0.001809889170635423,-0.09839608239998586,tiny,0.6994258938269506,0.9259794629659461,1.0,0.8601302234907069,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,IC,method_better,0.002825889844286325,0.09703530706357359,tiny,0.7033645319678438,0.9259794629659461,1.0,0.8601302234907069,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,IC,method_better,0.0016668538632111632,0.059463183489678016,tiny,0.815213702953817,0.9259794629659461,1.0,0.9461882568687956,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs global_lgbm,IC,reference_better,-0.0012895325249806218,-0.054361776475116544,tiny,0.8307900822891376,0.9259794629659461,1.0,0.9461882568687956,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,IC,reference_better,-0.001288486315492476,-0.0508778557512815,tiny,0.8414704378164941,0.9259794629659461,1.0,0.9461882568687956,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,IC,method_better,0.0005397748551554312,0.030340137620273273,tiny,0.905016303342759,0.9259794629659461,1.0,0.9519787028177684,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,IC,method_better,0.0005203566456548009,0.023619663229597465,tiny,0.9259794629659461,0.9259794629659461,1.0,0.9519787028177684,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs global_lgbm,IC,method_better,0.008913759844560151,0.5476289300349886,medium,0.044696818752735394,0.49590997272918236,0.8045427375492371,0.17066058069226242,1.0,raw_only_suggestive,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.911984244009685,-0.4163395969818484,small,0.11658309931887145,0.8963450048998379,1.0,0.3745862738923827,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,Sharpe,reference_better,-1.1748874506052922,-0.3410165672622604,small,0.19266569856611693,0.8963450048998379,1.0,0.5117956969129462,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,Sharpe,reference_better,-0.8229625313979403,-0.32047259539952005,small,0.21934101296269123,0.8963450048998379,1.0,0.5117956969129462,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs global_lgbm,Sharpe,reference_better,-0.6995578049709281,-0.2587592405248199,small,0.31705102644077693,0.8963450048998379,1.0,0.654892284123572,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs global_lgbm,Sharpe,reference_better,-0.7010839387836315,-0.24228591972741723,small,0.3478417588208583,0.8963450048998379,1.0,0.7069042195391637,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,Sharpe,reference_better,-0.9336828725308794,-0.23635285268716552,small,0.3594301296939008,0.8963450048998379,1.0,0.7076280678348672,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.6707796659352723,-0.2055473056573765,small,0.42384658317360924,0.8963450048998379,1.0,0.731570814792805,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,Sharpe,method_better,0.5600593248023332,0.1707407780748054,tiny,0.5050425418883808,0.8963450048998379,1.0,0.7760409789992193,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,Sharpe,method_better,0.4838702945649425,0.14019397143502582,tiny,0.5832305953255916,0.8963450048998379,1.0,0.8256972473148826,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive vs regime_lgbm_kmeans,Sharpe,reference_better,-0.436654598375321,-0.12548611732239556,tiny,0.6229939555540536,0.8963450048998379,1.0,0.848295448927705,1.0,not_significant,paired_t,16.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_kmeans,Sharpe,reference_better,-0.4381807321880244,-0.12434855597824553,tiny,0.6261228313514013,0.8963450048998379,1.0,0.848295448927705,1.0,not_significant,paired_t,16.0,
