comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,IC,reference_better,-0.0053460088396070325,-0.44899306437910136,small,0.092665374353277,0.32162828058797277,1.0,0.2543092626137294,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,IC,method_better,0.007120383263993368,0.4472070189684496,small,0.0938522278693525,0.32162828058797277,1.0,0.2543092626137294,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,IC,reference_better,-0.005005888003187707,-0.44121309531529945,small,0.0979339586084581,0.32162828058797277,1.0,0.25707664134720254,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,IC,method_better,0.0064697734900444216,0.4283692193085979,small,0.1072094268626576,0.32162828058797277,1.0,0.2728967229231284,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,IC,method_better,0.004687841917245153,0.22373213427607466,small,0.38496102346409244,0.7990614673250795,1.0,0.6218601148266109,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_kmeans,IC,reference_better,-0.0035640772668077626,-0.21678225716485833,small,0.39953073366253977,0.7990614673250795,1.0,0.6296126001112096,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,IC,reference_better,-0.0032239564303884367,-0.1403548070302473,tiny,0.5828030503234893,0.8403697654095618,1.0,0.7818718791770056,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_kmeans,IC,method_better,0.002432541346748216,0.12254855878546522,tiny,0.6310889254504484,0.8403697654095618,1.0,0.8095693680425463,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,IC,reference_better,-0.0017819315727992703,-0.10944103519667803,tiny,0.6677951777127428,0.8403697654095618,1.0,0.8249234548216234,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,IC,method_better,0.0014638854868567156,0.0839189147579079,tiny,0.7417645314015998,0.8403697654095618,1.0,0.8535372690100601,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,IC,method_better,0.00112376465043739,0.058805028845145144,tiny,0.817218912912386,0.8403697654095618,1.0,0.8915115413589666,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,IC,method_better,0.0006506097739489461,0.05123639642016564,tiny,0.8403697654095618,0.8403697654095618,1.0,0.8935577252456101,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,Sharpe,reference_better,-0.39075033948411975,-0.5248351105695644,medium,0.053121133132837374,0.31872679879702426,0.5843324644612111,0.16526574752438294,1.0,not_significant,paired_t,16.0,
