symbol,horizon,label_type,label,count,pct
ADAUSDT,4h,dir,-1,6768,0.38816242257398487
ADAUSDT,4h,dir,0,4207,0.24128240422115163
ADAUSDT,4h,dir,1,6461,0.3705551732048635
ADAUSDT,4h,tb,-1,3339,0.19150034411562286
ADAUSDT,4h,tb,0,10876,0.6237669190181234
ADAUSDT,4h,tb,1,3221,0.18473273686625372
ADAUSDT,8h,dir,-1,6926,0.3972241339756825
ADAUSDT,8h,dir,0,3975,0.22797660013764626
ADAUSDT,8h,dir,1,6535,0.37479926588667123
ADAUSDT,8h,tb,-1,3843,0.22040605643496214
ADAUSDT,8h,tb,0,9931,0.5695687084193622
ADAUSDT,8h,tb,1,3662,0.21002523514567562
ADAUSDT,24h,dir,-1,7244,0.41546226198669417
ADAUSDT,24h,dir,0,3796,0.21771048405597615
ADAUSDT,24h,dir,1,6396,0.3668272539573297
ADAUSDT,24h,tb,-1,4576,0.2624455150263822
ADAUSDT,24h,tb,0,8575,0.49179857765542556
ADAUSDT,24h,tb,1,4285,0.24575590731819225
APTUSDT,4h,dir,-1,6868,0.39389768295480615
APTUSDT,4h,dir,0,4055,0.2325648084423033
APTUSDT,4h,dir,1,6513,0.3735375086028906
APTUSDT,4h,tb,-1,3408,0.19545767377838955
APTUSDT,4h,tb,0,10757,0.6169419591649461
APTUSDT,4h,tb,1,3271,0.18760036705666439
APTUSDT,8h,dir,-1,7033,0.4033608625831613
APTUSDT,8h,dir,0,3915,0.22453544390915348
APTUSDT,8h,dir,1,6488,0.37210369350768524
APTUSDT,8h,tb,-1,3823,0.2192590043587979
APTUSDT,8h,tb,0,9820,0.5632025693966506
APTUSDT,8h,tb,1,3793,0.2175384262445515
APTUSDT,24h,dir,-1,7171,0.41127552190869465
APTUSDT,24h,dir,0,3800,0.21793989447120898
APTUSDT,24h,dir,1,6465,0.37078458362009636
APTUSDT,24h,tb,-1,4571,0.2621587520073411
APTUSDT,24h,tb,0,8466,0.4855471438403304
APTUSDT,24h,tb,1,4399,0.2522941041523285
AVAXUSDT,4h,dir,-1,6762,0.38781830695113556
AVAXUSDT,4h,dir,0,4179,0.23967653131452168
AVAXUSDT,4h,dir,1,6495,0.3725051617343427
AVAXUSDT,4h,tb,-1,3374,0.1935076852489103
AVAXUSDT,4h,tb,0,10809,0.6199242945629732
AVAXUSDT,4h,tb,1,3253,0.18656802018811655
AVAXUSDT,8h,dir,-1,6939,0.39796971782518925
AVAXUSDT,8h,dir,0,3908,0.224133975682496
AVAXUSDT,8h,dir,1,6589,0.37789630649231476
AVAXUSDT,8h,tb,-1,3892,0.22321633402156457
AVAXUSDT,8h,tb,0,9829,0.5637187428309245
AVAXUSDT,8h,tb,1,3715,0.2130649231475109
AVAXUSDT,24h,dir,-1,7185,0.4120784583620096
AVAXUSDT,24h,dir,0,3691,0.2116884606561138
AVAXUSDT,24h,dir,1,6560,0.3762330809818766
AVAXUSDT,24h,tb,-1,4613,0.2645675613672861
AVAXUSDT,24h,tb,0,8286,0.47522367515485203
AVAXUSDT,24h,tb,1,4537,0.26020876347786187
BCHUSDT,4h,dir,-1,6700,0.38426244551502636
BCHUSDT,4h,dir,0,4282,0.24558384950676762
BCHUSDT,4h,dir,1,6454,0.370153704978206
BCHUSDT,4h,tb,-1,3296,0.1890341821518697
BCHUSDT,4h,tb,0,11061,0.6343771507226428
BCHUSDT,4h,tb,1,3079,0.1765886671254875
BCHUSDT,8h,dir,-1,6874,0.3942417985776554
BCHUSDT,8h,dir,0,4054,0.23250745583849508
BCHUSDT,8h,dir,1,6508,0.3732507455838495
BCHUSDT,8h,tb,-1,3733,0.21409727001605872
BCHUSDT,8h,tb,0,10155,0.5824156916724019
BCHUSDT,8h,tb,1,3548,0.20348703831153933
BCHUSDT,24h,dir,-1,6998,0.40135352144987385
BCHUSDT,24h,dir,0,4027,0.23095893553567332
BCHUSDT,24h,dir,1,6411,0.36768754301445283
BCHUSDT,24h,tb,-1,4379,0.2511470520761643
BCHUSDT,24h,tb,0,8828,0.5063087864189034
BCHUSDT,24h,tb,1,4229,0.24254416150493233
BNBUSDT,4h,dir,-1,6367,0.3651640284468915
BNBUSDT,4h,dir,0,4136,0.23721036935076853
BNBUSDT,4h,dir,1,6933,0.39762560220234
BNBUSDT,4h,tb,-1,3387,0.19425326909841706
BNBUSDT,4h,tb,0,10816,0.6203257627896307
BNBUSDT,4h,tb,1,3233,0.18542096811195227
BNBUSDT,8h,dir,-1,6494,0.37244780913053455
BNBUSDT,8h,dir,0,3856,0.2211516402844689
BNBUSDT,8h,dir,1,7086,0.4064005505849966
BNBUSDT,8h,tb,-1,3934,0.22562514338150952
BNBUSDT,8h,tb,0,9741,0.5586717136958018
BNBUSDT,8h,tb,1,3761,0.2157031429226887
BNBUSDT,24h,dir,-1,6468,0.370956641431521
BNBUSDT,24h,dir,0,3785,0.2170796054140858
BNBUSDT,24h,dir,1,7183,0.4119637531543932
BNBUSDT,24h,tb,-1,4449,0.25516173434273914
BNBUSDT,24h,tb,0,8512,0.4881853636155081
BNBUSDT,24h,tb,1,4475,0.2566529020417527
BTCUSDT,4h,dir,-1,6729,0.3613273908607636
BTCUSDT,4h,dir,0,4867,0.2613434999731515
BTCUSDT,4h,dir,1,7027,0.377329109166085
BTCUSDT,4h,tb,-1,3460,0.18579176287386565
BTCUSDT,4h,tb,0,11801,0.6336787842989852
BTCUSDT,4h,tb,1,3362,0.18052945282714922
BTCUSDT,8h,dir,-1,6815,0.3659453364119637
BTCUSDT,8h,dir,0,4650,0.2496912420125651
BTCUSDT,8h,dir,1,7158,0.3843634215754712
BTCUSDT,8h,tb,-1,3942,0.21167373677710358
BTCUSDT,8h,tb,0,10822,0.5811093808731139
BTCUSDT,8h,tb,1,3859,0.20721688234978253
BTCUSDT,24h,dir,-1,6970,0.37426837781238254
BTCUSDT,24h,dir,0,4379,0.2351393438221554
BTCUSDT,24h,dir,1,7274,0.39059227836546206
BTCUSDT,24h,tb,-1,4808,0.258175374536863
BTCUSDT,24h,tb,0,9024,0.4845621006282554
BTCUSDT,24h,tb,1,4791,0.2572625248348816
DOGEUSDT,4h,dir,-1,6503,0.37296398256480845
DOGEUSDT,4h,dir,0,4340,0.24891030052764396
DOGEUSDT,4h,dir,1,6593,0.3781257169075476
DOGEUSDT,4h,tb,-1,3353,0.19230328056893783
DOGEUSDT,4h,tb,0,10864,0.6230786877724249
DOGEUSDT,4h,tb,1,3219,0.1846180316586373
DOGEUSDT,8h,dir,-1,6716,0.3851800871759578
DOGEUSDT,8h,dir,0,4032,0.23124569855471439
DOGEUSDT,8h,dir,1,6688,0.3835742142693278
DOGEUSDT,8h,tb,-1,3841,0.22029135122734572
DOGEUSDT,8h,tb,0,9872,0.5661849047946776
DOGEUSDT,8h,tb,1,3723,0.2135237439779766
DOGEUSDT,24h,dir,-1,7048,0.4042211516402845
DOGEUSDT,24h,dir,0,3652,0.20945170910759348
DOGEUSDT,24h,dir,1,6736,0.38632713925212203
DOGEUSDT,24h,tb,-1,4488,0.25739848589125947
DOGEUSDT,24h,tb,0,8453,0.4848015599908236
DOGEUSDT,24h,tb,1,4495,0.25779995411791695
DOTUSDT,4h,dir,-1,6884,0.39481532461573754
DOTUSDT,4h,dir,0,4033,0.2313030511585226
DOTUSDT,4h,dir,1,6519,0.37388162422573984
DOTUSDT,4h,tb,-1,3412,0.19568708419362238
DOTUSDT,4h,tb,0,10786,0.6186051846753843
DOTUSDT,4h,tb,1,3238,0.18570773113099334
DOTUSDT,8h,dir,-1,6920,0.3968800183528332
DOTUSDT,8h,dir,0,4034,0.2313604037623308
DOTUSDT,8h,dir,1,6482,0.371759577884836
DOTUSDT,8h,tb,-1,3839,0.2201766460197293
DOTUSDT,8h,tb,0,9974,0.5720348703831154
DOTUSDT,8h,tb,1,3623,0.20778848359715532
DOTUSDT,24h,dir,-1,7422,0.4256710254645561
DOTUSDT,24h,dir,0,3718,0.21323698095893553
DOTUSDT,24h,dir,1,6296,0.3610919935765084
DOTUSDT,24h,tb,-1,4695,0.2692704748795595
DOTUSDT,24h,tb,0,8596,0.493002982335398
DOTUSDT,24h,tb,1,4145,0.23772654278504243
ETCUSDT,4h,dir,-1,6695,0.3839756824959853
ETCUSDT,4h,dir,0,4316,0.24753383803624684
ETCUSDT,4h,dir,1,6425,0.36849047946776786
ETCUSDT,4h,tb,-1,3430,0.1967194310621702
ETCUSDT,4h,tb,0,10844,0.6219316356962606
ETCUSDT,4h,tb,1,3162,0.18134893324156917
ETCUSDT,8h,dir,-1,6938,0.39791236522138107
ETCUSDT,8h,dir,0,3887,0.2229295710025235
ETCUSDT,8h,dir,1,6611,0.37915806377609546
ETCUSDT,8h,tb,-1,3954,0.22677219545767377
ETCUSDT,8h,tb,0,9921,0.5689951823812801
ETCUSDT,8h,tb,1,3561,0.20423262216104612
ETCUSDT,24h,dir,-1,7230,0.4146593255333792
ETCUSDT,24h,dir,0,3686,0.21140169763707273
ETCUSDT,24h,dir,1,6520,0.3739389768295481
ETCUSDT,24h,tb,-1,4788,0.2746042670337233
ETCUSDT,24h,tb,0,8348,0.47877953659096123
ETCUSDT,24h,tb,1,4300,0.24661619637531543
ETHUSDT,4h,dir,-1,6798,0.3650324867099823
ETHUSDT,4h,dir,0,4841,0.25994737689953284
ETHUSDT,4h,dir,1,6984,0.37502013639048487
ETHUSDT,4h,tb,-1,3426,0.1839660634699028
ETHUSDT,4h,tb,0,11926,0.6403909144606132
ETHUSDT,4h,tb,1,3271,0.17564302206948398
ETHUSDT,8h,dir,-1,6961,0.3737851044407453
ETHUSDT,8h,dir,0,4587,0.24630832841110456
ETHUSDT,8h,dir,1,7075,0.37990656714815013
ETHUSDT,8h,tb,-1,3945,0.21183482790098265
ETHUSDT,8h,tb,0,10861,0.5832035654835419
ETHUSDT,8h,tb,1,3817,0.2049616066154755
ETHUSDT,24h,dir,-1,7152,0.38404123932771306
ETHUSDT,24h,dir,0,4351,0.2336358266659507
ETHUSDT,24h,dir,1,7120,0.38232293400633627
ETHUSDT,24h,tb,-1,4744,0.25473876389410943
ETHUSDT,24h,tb,0,9163,0.4920259893679858
ETHUSDT,24h,tb,1,4716,0.25323524673790476
ICPUSDT,4h,dir,-1,6968,0.39963294333562743
ICPUSDT,4h,dir,0,3913,0.22442073870153706
ICPUSDT,4h,dir,1,6555,0.3759463179628355
ICPUSDT,4h,tb,-1,3300,0.18926359256710254
ICPUSDT,4h,tb,0,10807,0.6198095893553567
ICPUSDT,4h,tb,1,3329,0.19092681807754072
ICPUSDT,8h,dir,-1,7016,0.40238586831842166
ICPUSDT,8h,dir,0,3881,0.22258545537967422
ICPUSDT,8h,dir,1,6539,0.3750286763019041
ICPUSDT,8h,tb,-1,3824,0.2193163569626061
ICPUSDT,8h,tb,0,9861,0.5655540261527874
ICPUSDT,8h,tb,1,3751,0.21512961688460655
ICPUSDT,24h,dir,-1,7277,0.41735489791236524
ICPUSDT,24h,dir,0,3740,0.21449873824271623
ICPUSDT,24h,dir,1,6419,0.36814636384491856
ICPUSDT,24h,tb,-1,4606,0.2641660931406286
ICPUSDT,24h,tb,0,8424,0.4831383344803854
ICPUSDT,24h,tb,1,4406,0.252695572378986
LINKUSDT,4h,dir,-1,6692,0.3838036246845607
LINKUSDT,4h,dir,0,4152,0.23812801101169992
LINKUSDT,4h,dir,1,6592,0.3780683643037394
LINKUSDT,4h,tb,-1,3265,0.1872562514338151
LINKUSDT,4h,tb,0,10893,0.624741913282863
LINKUSDT,4h,tb,1,3278,0.18800183528332187
