method,regime_method,regime,feature_family,mean_gain_share,mean_split_share,mean_shap_share
global_lgbm,none,all,distribution_shape,0.11894346476464869,0.13033663497448456,0.12361929247578528
global_lgbm,none,all,liquidity_volume,0.09277235831988977,0.08776672812426108,0.11571310298258664
global_lgbm,none,all,microstructure,0.029716298582517422,0.042014983892684245,0.04298656672241427
global_lgbm,none,all,momentum,0.24367395074623416,0.3267918261235299,0.2095203539924687
global_lgbm,none,all,technical_state,0.05003833040180741,0.06790415188237173,0.03965828334883166
global_lgbm,none,all,volatility,0.46485559718490255,0.3451856750026685,0.46850240047791347
regime_lgbm_hmm,hmm,0,distribution_shape,0.1307926265833455,0.12601568301561203,0.1158097193079449
regime_lgbm_hmm,hmm,0,liquidity_volume,0.08426212578258337,0.09996132563813648,0.10467440708206595
regime_lgbm_hmm,hmm,0,microstructure,0.03895011833746844,0.05027290446491585,0.05265163962665906
regime_lgbm_hmm,hmm,0,momentum,0.3198874450511397,0.3430398751157962,0.28259487884007345
regime_lgbm_hmm,hmm,0,technical_state,0.05814083520990814,0.06560797734599699,0.054256335421399446
regime_lgbm_hmm,hmm,0,volatility,0.3679668490355549,0.31510223441954244,0.3900130197218572
regime_lgbm_hmm,hmm,1,distribution_shape,0.13339818753672908,0.12837121823538755,0.11874363469918131
regime_lgbm_hmm,hmm,1,liquidity_volume,0.08874155909396488,0.10612149319223232,0.10763549451716711
regime_lgbm_hmm,hmm,1,microstructure,0.03849713658646795,0.050484293528413784,0.0492278067914778
regime_lgbm_hmm,hmm,1,momentum,0.3275408608791292,0.3433665837047078,0.29465885863116864
regime_lgbm_hmm,hmm,1,technical_state,0.06424400507227467,0.0682757483012815,0.0634134590630567
regime_lgbm_hmm,hmm,1,volatility,0.34757825083143423,0.303380663037977,0.36632074629794853
regime_lgbm_hmm,hmm,2,distribution_shape,0.133356725117673,0.1277960391966973,0.11560666780182888
regime_lgbm_hmm,hmm,2,liquidity_volume,0.08890021707380069,0.10594738204132588,0.10900216297301801
regime_lgbm_hmm,hmm,2,microstructure,0.03796059307936505,0.0487598635764129,0.04624338637903927
regime_lgbm_hmm,hmm,2,momentum,0.33201576487153023,0.35166312661501187,0.30919967987865554
regime_lgbm_hmm,hmm,2,technical_state,0.066100039374976,0.06923997456066051,0.06304405098476326
regime_lgbm_hmm,hmm,2,volatility,0.34166666048265504,0.29659361400989154,0.35690405198269504
regime_lgbm_hmm,hmm,3,distribution_shape,0.13210092282327648,0.12862760697084258,0.11524596408575954
regime_lgbm_hmm,hmm,3,liquidity_volume,0.09008519663683351,0.10472049003955636,0.1112586956180575
regime_lgbm_hmm,hmm,3,microstructure,0.03639603283306861,0.0504913873030652,0.047223523884685675
regime_lgbm_hmm,hmm,3,momentum,0.3304428270819787,0.349731493447298,0.3120295672376933
regime_lgbm_hmm,hmm,3,technical_state,0.06434020088948252,0.0652953257744325,0.05795128523576651
regime_lgbm_hmm,hmm,3,volatility,0.34663481973536014,0.30113369646480537,0.3562909639380375
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,distribution_shape,0.13046438334944763,0.12635086901029732,0.11455210816733857
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,liquidity_volume,0.08417101725968927,0.09979399562981861,0.10398129670383871
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,microstructure,0.03835124848359998,0.051887058023335014,0.04990585206484867
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,momentum,0.32791031375445717,0.34917941188655033,0.3016898451385259
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,technical_state,0.059494502224795014,0.06478561771060677,0.05814071591369542
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,0,volatility,0.3596085349280109,0.30800304773939197,0.3717301820117527
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,distribution_shape,0.12705859966081778,0.12474727614697385,0.11360229849330106
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,liquidity_volume,0.08825651278918602,0.10417052040955574,0.11363661474064822
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,microstructure,0.03865165139130317,0.0503367606117414,0.05257716083395399
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,momentum,0.3126826686665026,0.33813366705576164,0.2825090901590421
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,technical_state,0.053858157601421125,0.06225672078911884,0.048831412378644246
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,1,volatility,0.37949240989076927,0.3203550549868485,0.38884342339441036
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,distribution_shape,0.13402122996826704,0.13052448734992145,0.11389198192207639
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,liquidity_volume,0.0797801016392799,0.09683638614594334,0.09698974779849989
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,microstructure,0.03503941182442654,0.048459815742361134,0.05103967930003264
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,momentum,0.32501202398863005,0.346909263657201,0.3029385902152001
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,technical_state,0.05809422928221912,0.06283517690965966,0.05733895867161781
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,2,volatility,0.36805300329717733,0.31443487019491345,0.3778010420925732
