method,target,horizon,regime_method,symbol_scope,IC,mean_asset_IC,median_asset_IC,cross_sectional_IC,median_cross_sectional_IC,pooled_IC,signal_IC,n_asset_IC,n_cross_sectional_IC,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,n_test_rows,nll_loss,fold
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.08114923527204587,-0.08114923527204587,-0.08137938832154688,-0.010654332851734727,-0.01054074581009595,-0.06491600792429546,0.02399682291359214,20,720,2.5353746598630256,-0.014022886465247075,0.05277777777777778,0.01730509587398399,185,90,0,14400,0.9500279307934302,1
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.05499607132721028,-0.05499607132721028,-0.05754650485345518,-0.0058844642507185265,-0.014518621227062056,-0.04087470760927957,0.019857346963383295,20,720,1.6215071414562845,-0.01821729707508328,0.07333333333333333,0.011774841573397143,252,90,0,14400,0.9616333487541182,1
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.062095065990796096,-0.062095065990796096,-0.05625789919094198,-0.001111396927058318,0.005039432950353468,-0.0493218784915879,0.009504061072330084,20,720,3.962569515704197,-0.01914975468705382,0.07444444444444444,0.04318263994712712,260,90,0,14400,0.9587965742054244,1
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,-0.07965822675350294,-0.07965822675350294,-0.09599382400889421,-0.016894014141968932,-0.029231996905003013,-0.06168274693994571,0.013631019043572612,20,720,2.4875426667976,-0.016167993401607707,0.07138888888888889,0.02277533179246327,238,90,0,14400,0.9631039281132189,1
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.030409353552887604,0.030409353552887604,0.03373052955597861,0.008792268749392084,0.016381309914678656,0.0291311535942,0.00040072663214257875,20,720,-3.054901603580757,-0.008526232037572634,0.022222222222222223,-0.007547276035238859,79,90,0,14400,0.9438578965192478,2
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.015930782502067163,0.015930782502067163,0.011513639442114526,0.004219916698907743,0.019379802015502316,0.016575024668650865,0.015392100389788202,20,720,0.2992564095924529,-0.007076451775754996,0.035,0.001065250158921227,125,90,0,14400,0.948317093825879,2
regime_lgbm_hmm,tb_label_8h,8h,hmm,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.006233177791362961,0.006233177791362961,0.007647118000816919,0.01644470367629921,0.011423468303977108,0.004347968561931979,0.003224983135852971,20,720,-3.3386461940880734,-0.020960057367833015,0.042777777777777776,-0.01835158264889203,152,90,0,14400,0.947532238050917,2
regime_lgbm_vol_bucket,tb_label_8h,8h,vol_bucket,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.02453295139100078,0.02453295139100078,0.016252694810922605,0.021456301338312868,0.02798002837040353,0.02199878944301555,0.024954986275778773,20,720,-0.2880121311111141,-0.013619446114134397,0.06166666666666667,-0.0014001576994585596,216,90,0,14400,0.9468623480382207,2
global_lgbm,tb_label_8h,8h,none,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.021019341917424612,0.021019341917424612,0.02140715000626572,-0.061390271519012225,-0.06927471312893349,0.02886229298762347,-0.020096141887562417,20,720,-0.7481727233043857,-0.00938610415384732,0.041666666666666664,-0.002843707173248111,148,90,0,14400,0.9538416222270716,3
regime_lgbm_kmeans,tb_label_8h,8h,kmeans,BTCUSDT+ETHUSDT+BNBUSDT+SOLUSDT+XRPUSDT+DOGEUSDT+ADAUSDT+TRXUSDT+LINKUSDT+AVAXUSDT+TONUSDT+SHIBUSDT+DOTUSDT+BCHUSDT+LTCUSDT+NEARUSDT+UNIUSDT+APTUSDT+ICPUSDT+ETCUSDT,0.01675450569889576,0.01675450569889576,0.020226415125398182,-0.050550409129398496,-0.05774506493490739,0.02208086376768557,-0.015992906411287693,20,720,-2.1114213152958192,-0.019056222589646798,0.09111111111111111,-0.012608071671575627,314,90,0,14400,0.9562181551143836,3
