comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_kmeans vs regime_lgbm_hmm,IC,reference_better,-0.0035228042891942138,-0.243477485940877,small,0.34554631483241893,0.9310777395136001,1.0,0.7678144556940905,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,IC,reference_better,-0.0032179653385543683,-0.24254350799439253,small,0.3473446347187552,0.9310777395136001,1.0,0.7678144556940905,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,IC,reference_better,-0.0019391077359565308,-0.11109058781851705,tiny,0.6631246813968009,0.9310777395136001,1.0,0.9279278596560133,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,IC,method_better,0.0015836965532376843,0.09158795073927395,tiny,0.7192184739113471,0.9310777395136001,1.0,0.9279278596560133,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,IC,reference_better,-0.001634268785316684,-0.07246287674746345,tiny,0.7758981162613334,0.9310777395136001,1.0,0.9279278596560133,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,IC,method_better,0.00030483895063984634,0.01690107875429739,tiny,0.9469935339668047,0.9469935339668046,1.0,0.9700909372342879,1.0,not_significant,paired_t,16.0,
regime_lgbm_hmm vs global_lgbm,Sharpe,reference_better,-0.6984270807401118,-0.3466520796212701,small,0.1858252765540298,0.8613828606895838,1.0,0.5574758296620894,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,Sharpe,reference_better,-0.43363138974988635,-0.21582892043871107,small,0.40155750959209985,0.8613828606895838,1.0,0.7929092667864791,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs global_lgbm,Sharpe,reference_better,-0.5654440377640437,-0.19131166604061287,tiny,0.4559971413441442,0.8613828606895838,1.0,0.7929092667864791,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,Sharpe,method_better,0.26479569099022554,0.11992650999371593,tiny,0.6383559483106406,0.8613828606895838,1.0,0.9245155113464449,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,Sharpe,method_better,0.13298304297606822,0.053706988112500735,tiny,0.8327948515039835,0.8613828606895838,1.0,0.9428467631719328,1.0,not_significant,paired_t,16.0,
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,Sharpe,reference_better,-0.13181264801415732,-0.04440983419599219,tiny,0.8613828606895837,0.8613828606895838,1.0,0.9428467631719328,1.0,not_significant,paired_t,16.0,
regime_lgbm_kmeans vs global_lgbm,nll_loss,reference_better,0.0008271871222711853,,row_loss,0.3196163953526439,0.4794245930289659,0.9588491860579318,0.7678144556940905,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_kmeans vs regime_lgbm_hmm,nll_loss,reference_better,0.00030519746551520727,,row_loss,0.4414568139613084,0.5297481767535701,0.9588491860579318,0.7929092667864791,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_hmm vs global_lgbm,nll_loss,reference_better,0.0005219896567559779,,row_loss,0.5301928296863404,0.5301928296863404,0.9588491860579318,0.8247444017343073,1.0,not_significant,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs global_lgbm,nll_loss,reference_better,0.003268931859101305,,row_loss,0.0017640963284050104,0.005292288985215031,0.008820481642025053,0.024697348597670143,0.07056385313620042,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_kmeans,nll_loss,reference_better,0.00244174473683012,,row_loss,0.004488939180999296,0.008977878361998592,0.017955756723997185,0.03770708912039409,0.17057968887797326,survives_bh_all_tests,dm_newey_west,,230400.0
regime_lgbm_vol_bucket vs regime_lgbm_hmm,nll_loss,reference_better,0.002746942202345327,,row_loss,0.0007043318816631911,0.004225991289979147,0.004225991289979147,0.014790969514927014,0.028877607148190834,survives_holm_all_tests,dm_newey_west,,230400.0
