benchmark,method,mean_asset_ic,median_asset_ic,positive_ic_assets,n_assets,mean_sharpe_by_asset,median_turnover_by_asset,mean_total_return_by_asset
phase39r_repaired_neural,regime_lgbm_contrastive,-0.0030983854777024344,-0.007806899552265,7,20,-0.3325339731314877,0.050520833333333307,-0.06270852194197062
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,-0.008719406640473892,-0.0130262892814009,6,20,-0.47298625041629466,0.06215277777777775,-0.0901575967722174
phase39r_repaired_neural,regime_lgbm_hmm,-0.0093372391748816,-0.012814552298485101,5,20,-0.22227096986864683,0.05572916666666665,-0.024464213988895887
phase39r_repaired_neural,global_lgbm,-0.011348204903542684,-0.015319824269698199,5,20,-0.21571679404586486,0.03124999999999995,-0.003684604163671501
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,-0.011894549707397565,-0.01593770661170715,5,20,-0.4352286670775968,0.06458333333333324,-0.05351912757338867
phase39r_repaired_neural,regime_lgbm_kmeans,-0.013908583031277871,-0.017143056131816,3,20,-0.1947828202397471,0.0503472222222222,-0.009640384491990962
phase39r_repaired_neural,regime_lgbm_vol_bucket,-0.01534210993556374,-0.0127298013058774,4,20,-0.1805182007898844,0.06753472222222215,-0.030988195060615786
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,-0.017791040732515594,-0.0184676030026897,4,20,-0.4010046643593349,0.05347222222222215,-0.08448112746550569
phase41b_classical_candidates,regime_lgbm_hmm,-0.011420954579564085,-0.012097586756755,5,20,-0.36972859233037114,0.06041666666666665,-0.04551745977259138
phase41b_classical_candidates,global_lgbm,-0.011820508720573403,-0.01291726469347145,5,20,-0.22972361045568324,0.0427083333333333,-0.022130585397843034
phase41b_classical_candidates,regime_lgbm_kmeans,-0.013546567972826117,-0.013830138324540948,3,20,-0.31292255231668553,0.05781249999999995,-0.0402825723626027
phase41b_classical_candidates,regime_lgbm_vol_bucket,-0.01723389526739656,-0.013159176677674501,3,20,-0.24100868319356333,0.06597222222222221,-0.04111674926203243
