benchmark,method,threshold,transaction_cost_bps,Sharpe,drawdown,turnover,total_return,n_trades,n_return_observations,rebalance_offset_utc,signal_IC,n_test_rows
phase41b_classical_candidates,global_lgbm,0.0,5.0,0.17688464638053383,-0.040258812234853496,0.04842013888888889,0.011758396266861482,2708,1440,0,0.007314174928085595,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.0,5.0,-0.07674264325415077,-0.05792229090284123,0.06286458333333333,-0.009754212764389036,3462,1440,0,0.004262867686569757,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.0,5.0,0.017925267313038652,-0.04344544844332398,0.06078125,-0.0010319981781223841,3365,1440,0,0.0037725633080310014,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.0,5.0,0.16533498157111556,-0.048214111825452405,0.07032986111111111,0.011771364768343062,3850,1440,0,0.004350688866324459,230400
phase39r_repaired_neural,global_lgbm,0.0,5.0,0.17215018891197995,-0.052673572939420876,0.05588541666666667,0.012078797787896889,3121,1440,0,0.007423475157466018,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.0,5.0,-0.8282472990772762,-0.08833030341189886,0.06958333333333333,-0.06742475817795468,3805,1440,0,0.004979329379025754,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.0,5.0,-0.5719398588946373,-0.09485411537612218,0.07381944444444444,-0.04643066182413924,4034,1440,0,-0.0014676347760721146,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.0,5.0,-0.021439048410932138,-0.07694781108496773,0.07809027777777777,-0.005717423521088949,4271,1440,0,0.004855560671314941,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.0,5.0,-0.34832584071959743,-0.07228029225546934,0.08126736111111112,-0.03369162678462845,4417,1440,0,0.0006804650908231923,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.0,5.0,0.08016807315205601,-0.07247316446830401,0.08234375,0.004112059691152359,4482,1440,0,0.001039971174549549,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.0,5.0,-0.0016661632808435438,-0.05202306197938765,0.07506944444444444,-0.0028619050147216107,4110,1440,0,0.003902107934437791,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.0,5.0,-0.191676692199256,-0.06671262156430516,0.08850694444444444,-0.020956807855779136,4796,1440,0,0.0036178056584467142,230400
phase41b_classical_candidates,global_lgbm,0.0,10.0,-0.2605315342620962,-0.0511489844858179,0.04842013888888889,-0.022905977992834337,2708,1440,0,0.007314174928085595,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.0,10.0,-0.5863204755053719,-0.09541125875034544,0.06286458333333333,-0.053579561836707645,3462,1440,0,0.004262867686569757,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.0,10.0,-0.523112136706594,-0.06360195161821268,0.06078125,-0.04380156433485516,3365,1440,0,0.0037725633080310014,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.0,10.0,-0.40428138931325586,-0.0724570530260794,0.07032986111111111,-0.0381865738784295,3850,1440,0,0.004350688866324459,230400
phase39r_repaired_neural,global_lgbm,0.0,10.0,-0.29530955136493675,-0.06328239442200452,0.05588541666666667,-0.027836689799519143,3121,1440,0,0.007423475157466018,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.0,10.0,-1.4455209793989372,-0.13043884353703267,0.06958333333333333,-0.11299689036541871,3805,1440,0,0.004979329379025754,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.0,10.0,-1.2450706467283927,-0.12879831389605745,0.07381944444444444,-0.09579210833325025,4034,1440,0,-0.0014676347760721146,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.0,10.0,-0.5956838545255877,-0.10819441159735058,0.07809027777777777,-0.060080907571667064,4271,1440,0,0.004855560671314941,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.0,10.0,-1.002246078341607,-0.1023981936436305,0.08126736111111112,-0.08860659427064699,4417,1440,0,0.0006804650908231923,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.0,10.0,-0.6024556405139526,-0.09977017015886071,0.08234375,-0.05368827650981123,4482,1440,0,0.001039971174549549,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.0,10.0,-0.6394483799662647,-0.0768857386653793,0.07506944444444444,-0.05532150771584354,4110,1440,0,0.003902107934437791,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.0,10.0,-0.8750332551706879,-0.11914288338976214,0.08850694444444444,-0.08140149297627997,4796,1440,0,0.0036178056584467142,230400
phase41b_classical_candidates,global_lgbm,0.0,20.0,-1.1344634075911713,-0.10389772765003993,0.04842013888888889,-0.08872009104599732,2708,1440,0,0.007314174928085595,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.0,20.0,-1.6023948353573156,-0.16694451656716805,0.06286458333333333,-0.13550728319302296,3462,1440,0,0.004262867686569757,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.0,20.0,-1.6070953900882388,-0.13544280574512177,0.06078125,-0.12393524646938914,3365,1440,0,0.0037725633080310014,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.0,20.0,-1.54190339618465,-0.15077945014354477,0.07032986111111111,-0.1308360646968163,3850,1440,0,0.004350688866324459,230400
phase39r_repaired_neural,global_lgbm,0.0,20.0,-1.2289661675130934,-0.11823083401661331,0.05588541666666667,-0.1030159684589016,3121,1440,0,0.007423475157466018,230400
phase39r_repaired_neural,regime_lgbm_contrastive,0.0,20.0,-2.677935474551341,-0.2089203729619366,0.06958333333333333,-0.197579073400184,3805,1440,0,0.004979329379025754,230400
phase39r_repaired_neural,regime_lgbm_contrastive_hmm,0.0,20.0,-2.5874619145085718,-0.20114799393646499,0.07381944444444444,-0.18699257228110566,4034,1440,0,-0.0014676347760721146,230400
phase39r_repaired_neural,regime_lgbm_hmm,0.0,20.0,-1.7417276935093855,-0.19380891833822822,0.07809027777777777,-0.16006615824015247,4271,1440,0,0.004855560671314941,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_gmm,0.0,20.0,-2.3114467408803305,-0.19785712527940078,0.08126736111111112,-0.1892643008297069,4417,1440,0,0.0006804650908231923,230400
phase39r_repaired_neural,regime_lgbm_hmm_guided_hmm,0.0,20.0,-1.966249112707428,-0.19159892767694706,0.08234375,-0.15951234134996017,4482,1440,0,0.001039971174549549,230400
phase39r_repaired_neural,regime_lgbm_kmeans,0.0,20.0,-1.9169665195492347,-0.16325580114829397,0.07506944444444444,-0.15211844258960405,4110,1440,0,0.003902107934437791,230400
phase39r_repaired_neural,regime_lgbm_vol_bucket,0.0,20.0,-2.239033525008631,-0.21545474778853876,0.08850694444444444,-0.191341146887406,4796,1440,0,0.0036178056584467142,230400
phase41b_classical_candidates,global_lgbm,0.0,40.0,-2.8641142772939103,-0.21392651365758747,0.04842013888888889,-0.20737437173928497,2708,1440,0,0.007314174928085595,230400
phase41b_classical_candidates,regime_lgbm_hmm,0.0,40.0,-3.605611642062181,-0.29555288082143466,0.06286458333333333,-0.2787333650287924,3462,1440,0,0.004262867686569757,230400
phase41b_classical_candidates,regime_lgbm_kmeans,0.0,40.0,-3.7616881278901975,-0.266391712256358,0.06078125,-0.26465073896002456,3365,1440,0,0.0037725633080310014,230400
phase41b_classical_candidates,regime_lgbm_vol_bucket,0.0,40.0,-3.7883909659533472,-0.2934051862785482,0.07032986111111111,-0.2902600569717434,3850,1440,0,0.004350688866324459,230400
phase39r_repaired_neural,global_lgbm,0.0,40.0,-3.076242884624184,-0.24272529271336718,0.05588541666666667,-0.23641319665683935,3121,1440,0,0.007423475157466018,230400
