method,regime_method,state_bucket,n_rows,mean_target_return,mean_score,ic,signal_ic
regime_lgbm_contrastive,contrastive,stable,219411,-0.0003692569145090962,-0.006911600425138703,-0.0028365574937747346,0.0031050387464084395
regime_lgbm_contrastive,contrastive,transition,10989,-0.00043876763902947675,-0.007433214682153785,0.024266924032525623,0.024633600549181015
regime_lgbm_contrastive_hmm,contrastive_hmm,stable,214925,-0.00038861839806392527,-0.00829590816794843,-0.019221675137159444,-0.0021443221702694983
regime_lgbm_contrastive_hmm,contrastive_hmm,transition,15475,-0.00014971484657583652,-0.0063285654878287865,0.012647851776882216,0.009967020953680539
regime_lgbm_hmm,hmm,stable,183217,-0.00041330592370300703,-0.0088024391144184,-0.011198410583290972,0.004036386040920784
regime_lgbm_hmm,hmm,transition,47183,-0.00021439872478554582,-0.001964123378934638,-0.0015407737823299448,0.00623652606723605
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,stable,212910,-0.0003542303820911762,-0.008140366883094208,-0.008501347038205658,0.001174859407430553
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,transition,17490,-0.0005958522472051392,-0.005133212711615633,0.0002827765559961352,0.009447845064473498
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,stable,214340,-0.00036408029409265,-0.00829836946842953,-0.009500045747545389,0.000673887560111355
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,transition,16060,-0.00048590761013895704,-0.008019890482950097,-0.03099738339850824,-0.004788589157457747
regime_lgbm_kmeans,kmeans,stable,180938,-0.00028520641760377614,-0.008366539345563929,-0.011513470332281572,0.003310500907235061
regime_lgbm_kmeans,kmeans,transition,49462,-0.0006921670710092232,-0.006345567150288855,-0.015629914410968764,0.006472899947048726
regime_lgbm_vol_bucket,vol_bucket,stable,209295,-0.00031047515409822853,-0.008041910648757585,-0.014860040689113922,0.005708815029300875
regime_lgbm_vol_bucket,vol_bucket,transition,21105,-0.0009883794872144755,-0.009230515652599951,-0.009729402717367185,-0.006856315189335571
