symbol,horizon,label_type,label,count,pct
AAVEUSDT,4h,dir,-1,6838,0.3921771048405598
AAVEUSDT,4h,dir,0,4081,0.23405597614131682
AAVEUSDT,4h,dir,1,6517,0.3737669190181234
AAVEUSDT,4h,tb,-1,3303,0.1894356503785272
AAVEUSDT,4h,tb,0,10708,0.6141316815783436
AAVEUSDT,4h,tb,1,3425,0.19643266804312917
AAVEUSDT,8h,dir,-1,6868,0.39389768295480615
AAVEUSDT,8h,dir,0,3912,0.22436338609772882
AAVEUSDT,8h,dir,1,6656,0.381738930947465
AAVEUSDT,8h,tb,-1,3734,0.21415462261986695
AAVEUSDT,8h,tb,0,9795,0.5617687543014452
AAVEUSDT,8h,tb,1,3907,0.22407662307868778
AAVEUSDT,24h,dir,-1,7045,0.40404909382885984
AAVEUSDT,24h,dir,0,3843,0.22040605643496214
AAVEUSDT,24h,dir,1,6548,0.375544849736178
AAVEUSDT,24h,tb,-1,4279,0.24541179169534297
AAVEUSDT,24h,tb,0,8573,0.49168387244780914
AAVEUSDT,24h,tb,1,4584,0.2629043358568479
ALGOUSDT,4h,dir,-1,6988,0.4007799954117917
ALGOUSDT,4h,dir,0,3909,0.2241913282863042
ALGOUSDT,4h,dir,1,6539,0.3750286763019041
ALGOUSDT,4h,tb,-1,3422,0.19626061023170452
ALGOUSDT,4h,tb,0,10566,0.6059876118375774
ALGOUSDT,4h,tb,1,3448,0.19775177793071805
ALGOUSDT,8h,dir,-1,7087,0.40645790318880476
ALGOUSDT,8h,dir,0,3810,0.21851342050929112
ALGOUSDT,8h,dir,1,6539,0.3750286763019041
ALGOUSDT,8h,tb,-1,3876,0.22229869236063318
ALGOUSDT,8h,tb,0,9647,0.5532805689378297
ALGOUSDT,8h,tb,1,3913,0.22442073870153706
ALGOUSDT,24h,dir,-1,7375,0.4229754530855701
ALGOUSDT,24h,dir,0,3475,0.1993002982335398
ALGOUSDT,24h,dir,1,6586,0.3777242486808901
ALGOUSDT,24h,tb,-1,4710,0.2701307639366827
ALGOUSDT,24h,tb,0,8230,0.4720119293415921
ALGOUSDT,24h,tb,1,4496,0.2578573067217252
ARBUSDT,4h,dir,-1,6828,0.39160357880247765
ARBUSDT,4h,dir,0,4063,0.23302362927276898
ARBUSDT,4h,dir,1,6545,0.37537279192475337
ARBUSDT,4h,tb,-1,3413,0.19574443679743062
ARBUSDT,4h,tb,0,10690,0.6130993347097958
ARBUSDT,4h,tb,1,3333,0.19115622849277358
ARBUSDT,8h,dir,-1,6982,0.4004358797889424
ARBUSDT,8h,dir,0,3872,0.22206928194540032
ARBUSDT,8h,dir,1,6582,0.3774948382656573
ARBUSDT,8h,tb,-1,3862,0.22149575590731818
ARBUSDT,8h,tb,0,9814,0.5628584537738013
ARBUSDT,8h,tb,1,3760,0.21564579031888048
ARBUSDT,24h,dir,-1,7195,0.41265198440009176
ARBUSDT,24h,dir,0,3739,0.214441385638908
ARBUSDT,24h,dir,1,6502,0.3729066299610002
ARBUSDT,24h,tb,-1,4769,0.27351456756136727
ARBUSDT,24h,tb,0,8410,0.48233539802707043
ARBUSDT,24h,tb,1,4257,0.24415003441156227
ATOMUSDT,4h,dir,-1,6829,0.39166093140628583
ATOMUSDT,4h,dir,0,4005,0.22969717825189265
ATOMUSDT,4h,dir,1,6602,0.3786418903418215
ATOMUSDT,4h,tb,-1,3489,0.2001032346868548
ATOMUSDT,4h,tb,0,10587,0.60719201651755
ATOMUSDT,4h,tb,1,3360,0.19270474879559532
ATOMUSDT,8h,dir,-1,6946,0.39837118605184674
ATOMUSDT,8h,dir,0,3777,0.2166207845836201
ATOMUSDT,8h,dir,1,6713,0.38500802936453316
ATOMUSDT,8h,tb,-1,3985,0.22855012617572837
ATOMUSDT,8h,tb,0,9633,0.5524776324845148
ATOMUSDT,8h,tb,1,3818,0.21897224133975682
ATOMUSDT,24h,dir,-1,7301,0.41873136040376235
ATOMUSDT,24h,dir,0,3539,0.20297086487726543
ATOMUSDT,24h,dir,1,6596,0.37829777471897225
ATOMUSDT,24h,tb,-1,4689,0.26892635925671027
ATOMUSDT,24h,tb,0,8227,0.4718398715301675
ATOMUSDT,24h,tb,1,4520,0.2592337692131223
FETUSDT,4h,dir,-1,7024,0.4028446891488874
FETUSDT,4h,dir,0,4017,0.2303854094975912
FETUSDT,4h,dir,1,6395,0.36676990135352144
FETUSDT,4h,tb,-1,3328,0.1908694654737325
FETUSDT,4h,tb,0,10790,0.6188345950906171
