fold,encoder_method,outer_train_end,inner_train_end,inner_validation_start,inner_validation_end,outer_test_start,outer_test_end,calendar_train_start,calendar_train_end,calendar_test_start,calendar_test_end,seed,run_kind,window_cap,selected_epoch,max_epochs,train_windows,validation_windows,scaler_training_rows,device,runtime_seconds,input_hash,model_hash,created_utc,python_version,torch_version
1,vanilla,4320,3472,3600,4320,4440,5160,2024-07-05T11:30:00+05:30,2024-12-29T23:30:00+05:30,2025-01-04T00:30:00+05:30,2025-02-02T23:30:00+05:30,42,full,5000,30,30,5000,5000,43200,cpu,2053.860946500001,7582d63fa95058ad54796f3428c28c616d375ab4212edebdbd7f77ca637f944f,04201069412f96dd264a611bfa13950589c2f634386513a16be0e4e69760ce69,2026-06-30T07:22:21.028618+00:00,3.11.3,2.11.0+cpu
1,guided,4320,3472,3600,4320,4440,5160,2024-07-05T11:30:00+05:30,2024-12-29T23:30:00+05:30,2025-01-04T00:30:00+05:30,2025-02-02T23:30:00+05:30,42,full,5000,3,30,5000,5000,43200,cpu,166.60613080000076,9161ec5c1b2dd3b970274a5e3f8a9b27325b1927fafaae5ed09aa6adc8cd4113,cf461b45b60c5bd0532b6984fe529e4e777b2cc13f0af34e7a887d5067147eb8,2026-06-30T07:22:21.038263+00:00,3.11.3,2.11.0+cpu
2,vanilla,5040,4192,4320,5040,5160,5880,2024-07-05T11:30:00+05:30,2025-01-28T23:30:00+05:30,2025-02-03T00:30:00+05:30,2025-03-04T23:30:00+05:30,42,full,5000,25,30,5000,5000,50400,cpu,1612.1352227999996,bcc508be5e4c3436700941775ad85c3809cfe132683e16726bc44112b68cf9e9,1ff8cf17508606639140a12daa8da460413f1f1814944c30845577e876155036,2026-06-30T07:55:00.465019+00:00,3.11.3,2.11.0+cpu
2,guided,5040,4192,4320,5040,5160,5880,2024-07-05T11:30:00+05:30,2025-01-28T23:30:00+05:30,2025-02-03T00:30:00+05:30,2025-03-04T23:30:00+05:30,42,full,5000,5,30,5000,5000,50400,cpu,241.8777768999989,4c176cbde6bb0540c857afb94254fbffaef620355ec023c7c059e54421cc6b72,f3e1c0debbc73a695c7f6bb89455c01310718aa776c8b05681a9cdbddf08a3a2,2026-06-30T07:55:00.471442+00:00,3.11.3,2.11.0+cpu
3,vanilla,5760,4912,5040,5760,5880,6600,2024-07-05T11:30:00+05:30,2025-02-27T23:30:00+05:30,2025-03-05T00:30:00+05:30,2025-04-03T23:30:00+05:30,42,full,5000,13,30,5000,5000,57600,cpu,908.0047148000012,20fa9e7c789389fd8e26c2fdfc8c64eb72ee970d6fcbc8dd9827ceb1e940198b,6a9f4979cc0333c9114ca264823bbdef928f3132bbaaef49fa19d496faff68a2,2026-06-30T08:13:41.625997+00:00,3.11.3,2.11.0+cpu
3,guided,5760,4912,5040,5760,5880,6600,2024-07-05T11:30:00+05:30,2025-02-27T23:30:00+05:30,2025-03-05T00:30:00+05:30,2025-04-03T23:30:00+05:30,42,full,5000,1,30,5000,5000,57600,cpu,109.22418839999956,2c94ecaf7a3b1470e5746bce8c983668dda9664532518f966dc36fa1fe69b7a0,e0bf84073dcdb5ae43511158ea19ae22c9d6522b2f1c44cdc48937978414cc96,2026-06-30T08:13:41.633996+00:00,3.11.3,2.11.0+cpu
4,vanilla,6480,5632,5760,6480,6600,7320,2024-07-05T11:30:00+05:30,2025-03-29T23:30:00+05:30,2025-04-04T00:30:00+05:30,2025-05-03T23:30:00+05:30,42,full,5000,14,30,5000,5000,64800,cpu,949.6462185,d59b77410f40ddcc453a024dac9812dfce8e4795a51ff3f68a04e401125bf526,510ec7025c307e7be9ddf4e9058c11200fba1893e5c08ce6466f549e27f5dafc,2026-06-30T08:33:47.141873+00:00,3.11.3,2.11.0+cpu
4,guided,6480,5632,5760,6480,6600,7320,2024-07-05T11:30:00+05:30,2025-03-29T23:30:00+05:30,2025-04-04T00:30:00+05:30,2025-05-03T23:30:00+05:30,42,full,5000,1,30,5000,5000,64800,cpu,121.58324549999998,62585f06cad0ed51040123bfd4e146d666007a0f60ab76ef959c909cd208e44a,e7f205e5ffe45dcfea8547310087419ccfa660c9a5c9722e8ea1e3951b9910f2,2026-06-30T08:33:47.151891+00:00,3.11.3,2.11.0+cpu
5,vanilla,7200,6352,6480,7200,7320,8040,2024-07-05T11:30:00+05:30,2025-04-28T23:30:00+05:30,2025-05-04T00:30:00+05:30,2025-06-02T23:30:00+05:30,42,full,5000,12,30,5000,5000,72000,cpu,832.163448700001,5247f7342e2d5a3faa671aac248374ac435fe660a05b56c4a3f7a0c79d501703,2cae1c81f55eb9d5fe0904ab3d14fa03757e3a7ebfdcb1a18e9394eb106b0d8b,2026-06-30T08:54:51.230136+00:00,3.11.3,2.11.0+cpu
5,guided,7200,6352,6480,7200,7320,8040,2024-07-05T11:30:00+05:30,2025-04-28T23:30:00+05:30,2025-05-04T00:30:00+05:30,2025-06-02T23:30:00+05:30,42,full,5000,6,30,5000,5000,72000,cpu,285.67710500000067,fbac08eab3bccef93f0d2d4a43234453284235cf730a35bbf0076ed395cbe7ff,b3dec4f5e22d3d0bf93d0de9caa09eaa60df6f004a5ba161e31da04cbb36f01a,2026-06-30T08:54:51.236165+00:00,3.11.3,2.11.0+cpu
6,vanilla,7920,7072,7200,7920,8040,8760,2024-07-05T11:30:00+05:30,2025-05-28T23:30:00+05:30,2025-06-03T00:30:00+05:30,2025-07-02T23:30:00+05:30,42,full,5000,11,30,5000,5000,79200,cpu,860.3631242999982,8647f83f9f039eeebfb1b70aca0bdc7e36f7a0614c8498b15950b5df56c0df61,d2bf099a42187f80d594031d4d1853567cdf2a9aab32923a74eadb28ae9acd39,2026-06-30T09:16:43.456759+00:00,3.11.3,2.11.0+cpu
6,guided,7920,7072,7200,7920,8040,8760,2024-07-05T11:30:00+05:30,2025-05-28T23:30:00+05:30,2025-06-03T00:30:00+05:30,2025-07-02T23:30:00+05:30,42,full,5000,5,30,5000,5000,79200,cpu,271.8480920000002,5e0abd811b1c0e2b7b103815e84a77a8ee9b9f27174a723ce2df982f8e568dfd,931b149b13cb05295d0d954a059ea8cfb1dbe784f8927c5fb441a801ef254082,2026-06-30T09:16:43.464789+00:00,3.11.3,2.11.0+cpu
