guided_method,guided_regime_method,reference_method,reference_regime_method,target,horizon,symbol_scope,IC_guided,IC_reference,delta_IC,Sharpe_guided,Sharpe_reference,delta_Sharpe,drawdown_guided,drawdown_reference,delta_drawdown,total_return_guided,total_return_reference,delta_total_return,turnover_guided,turnover_reference,delta_turnover,n_test_rows_guided,n_test_rows_reference,delta_n_test_rows,beats_reference_on_IC,beats_reference_on_Sharpe,beats_reference_on_drawdown,equal_test_coverage
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,global_lgbm,none,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.0041736410085427165,0.011331202825067749,-1.704126088224096,-1.2810023904661028,-0.4231236977579933,-0.2942770447664167,-0.16737993260900275,-0.12689711215741395,-0.2717781649449782,-0.16375568748867675,-0.10802247745630145,0.08453703703703704,0.04703703703703704,0.0375,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_hmm,hmm,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.002377813903136833,0.009535375719661865,-1.704126088224096,-0.9538471952600808,-0.7502788929640153,-0.2942770447664167,-0.17988069649490032,-0.11439634827151637,-0.2717781649449782,-0.1600344120738949,-0.11174375287108329,0.08453703703703704,0.07364197530864197,0.010895061728395064,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_contrastive,contrastive,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.00023003830131652602,0.007387600117841558,-1.704126088224096,0.27257552012972136,-1.9767016083538174,-0.2942770447664167,-0.09896315641133335,-0.19531388835508334,-0.2717781649449782,0.03553976951749749,-0.3073179344624757,0.08453703703703704,0.07126543209876543,0.013271604938271606,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.001242999259374545,0.008400561075899577,-1.704126088224096,-0.7276925238215044,-0.9764335644025917,-0.2942770447664167,-0.15371717739067603,-0.14055986737574067,-0.2717781649449782,-0.1088300239253086,-0.1629481410196696,0.08453703703703704,0.07648148148148148,0.008055555555555552,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_kmeans,kmeans,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.0020297743592374365,0.009187336175762468,-1.704126088224096,-0.3003065171164672,-1.403819571107629,-0.2942770447664167,-0.13779947925315908,-0.15647756551325762,-0.2717781649449782,-0.055157408839495936,-0.21662075610548226,0.08453703703703704,0.07614197530864197,0.008395061728395062,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_gmm,hmm_guided_gmm,regime_lgbm_vol_bucket,vol_bucket,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.007157561816525032,-0.0016562166276831096,0.008813778444208142,-1.704126088224096,-0.641758937085756,-1.0623671511383401,-0.2942770447664167,-0.18332123835296163,-0.11095580641345507,-0.2717781649449782,-0.11130811240585425,-0.16047005253912394,0.08453703703703704,0.08472222222222223,-0.000185185185185191,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,global_lgbm,none,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0007263531098080634,-0.0041736410085427165,0.00489999411835078,-0.3691307584985582,-1.2810023904661028,0.9118716319675446,-0.11440625330920211,-0.16737993260900275,0.05297367929980064,-0.06592852849697284,-0.16375568748867675,0.09782715899170391,0.08595679012345679,0.04703703703703704,0.038919753086419755,129600,129600,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_hmm,hmm,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0007263531098080634,-0.002377813903136833,0.0031041670129448966,-0.3691307584985582,-0.9538471952600808,0.5847164367615225,-0.11440625330920211,-0.17988069649490032,0.06547444318569821,-0.06592852849697284,-0.1600344120738949,0.09410588357692207,0.08595679012345679,0.07364197530864197,0.01231481481481482,129600,129600,0,True,True,True,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_contrastive,contrastive,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0007263531098080634,-0.00023003830131652602,0.0009563914111245894,-0.3691307584985582,0.27257552012972136,-0.6417062786282796,-0.11440625330920211,-0.09896315641133335,-0.015443096897868755,-0.06592852849697284,0.03553976951749749,-0.10146829801447033,0.08595679012345679,0.07126543209876543,0.014691358024691362,129600,129600,0,True,False,False,True
regime_lgbm_hmm_guided_hmm,hmm_guided_hmm,regime_lgbm_contrastive_hmm,contrastive_hmm,tb_label_8h,8h,FILUSDT+ARBUSDT+OPUSDT+INJUSDT+ATOMUSDT+XLMUSDT+ALGOUSDT+AAVEUSDT+RUNEUSDT+FETUSDT,0.0007263531098080634,-0.001242999259374545,0.0019693523691826083,-0.3691307584985582,-0.7276925238215044,0.3585617653229462,-0.11440625330920211,-0.15371717739067603,0.03931092408147392,-0.06592852849697284,-0.1088300239253086,0.04290149542833577,0.08595679012345679,0.07648148148148148,0.009475308641975308,129600,129600,0,True,True,True,True
