market_period,threshold,transaction_cost_bps,best_signal_ic_method,best_signal_ic,best_sharpe_method,best_sharpe,lowest_drawdown_method,lowest_drawdown,best_return_method,best_total_return,methods_tested,n_test_rows_per_method
all,0.03,5,regime_lgbm_hmm_guided_hmm,0.015164367335206473,regime_lgbm_hmm_guided_hmm,0.34153296989385684,regime_lgbm_hmm_guided_hmm,-0.5633800327914246,regime_lgbm_hmm_guided_hmm,0.6779370054277076,8,25920
bull,0.03,5,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,0.5498535546531506,regime_lgbm_kmeans,-0.28274550143773713,regime_lgbm_kmeans,0.3953144093537253,8,6770
sideways,0.03,5,regime_lgbm_hmm_guided_hmm,0.002996270281933415,regime_lgbm_hmm_guided_hmm,-0.14552221790232844,regime_lgbm_hmm_guided_hmm,-0.542973545682579,regime_lgbm_hmm_guided_hmm,-0.3063957804005678,8,12466
bear,0.03,5,regime_lgbm_hmm_guided_hmm,0.049232398104506706,regime_lgbm_hmm_guided_hmm,1.191011103998476,regime_lgbm_hmm_guided_hmm,-0.31869789683931427,regime_lgbm_hmm_guided_hmm,2.4521064299418085,8,6684
all,0.03,10,regime_lgbm_hmm_guided_hmm,0.015164367335206473,regime_lgbm_hmm_guided_hmm,0.05880243315639101,regime_lgbm_hmm_guided_hmm,-0.6388624307219347,regime_lgbm_hmm_guided_hmm,-0.051764902225426956,8,25920
bull,0.03,10,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,0.31818038807365145,regime_lgbm_kmeans,-0.30580245011805757,regime_lgbm_kmeans,0.18041563934604588,8,6770
sideways,0.03,10,regime_lgbm_hmm_guided_hmm,0.002996270281933415,regime_lgbm_hmm_guided_hmm,-0.4396960259287967,regime_lgbm_hmm_guided_hmm,-0.6533209255923713,regime_lgbm_hmm_guided_hmm,-0.554674490300406,8,12466
bear,0.03,10,regime_lgbm_hmm_guided_hmm,0.049232398104506706,regime_lgbm_hmm_guided_hmm,1.0599327925059505,regime_lgbm_hmm_guided_hmm,-0.32113620211252786,regime_lgbm_hmm_guided_hmm,1.957659634761987,8,6684
all,0.03,20,regime_lgbm_hmm_guided_hmm,0.015164367335206473,regime_lgbm_hmm_guided_hmm,-0.5053513077301804,regime_lgbm_hmm_guided_hmm,-0.8035286139453569,regime_lgbm_hmm_guided_hmm,-0.6972717397018104,8,25920
bull,0.03,20,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,-0.14514228899624643,regime_lgbm_kmeans,-0.4050211897012131,regime_lgbm_kmeans,-0.15528744299688257,8,6770
sideways,0.03,20,regime_lgbm_hmm_guided_hmm,0.002996270281933415,regime_lgbm_hmm_guided_hmm,-1.0261686350315793,regime_lgbm_contrastive_hmm,-0.8379054575712085,regime_lgbm_hmm_guided_hmm,-0.8164917742527661,8,12466
bear,0.03,20,regime_lgbm_hmm_guided_hmm,0.049232398104506706,regime_lgbm_hmm_guided_hmm,0.7977245869890668,regime_lgbm_hmm_guided_hmm,-0.32598906611679107,regime_lgbm_hmm_guided_hmm,1.1708373080572554,8,6684
all,0.05,5,regime_lgbm_hmm_guided_hmm,0.01613860822343081,regime_lgbm_hmm_guided_hmm,0.3743570049875486,regime_lgbm_hmm_guided_hmm,-0.548653488223587,regime_lgbm_hmm_guided_hmm,0.781652490155897,8,25920
bull,0.05,5,regime_lgbm_contrastive,0.016273921336066668,regime_lgbm_kmeans,0.5167778898467525,global_lgbm,-0.24006411031464886,regime_lgbm_kmeans,0.35565781470349256,8,6770
sideways,0.05,5,regime_lgbm_hmm_guided_hmm,0.004358914007831473,regime_lgbm_hmm_guided_hmm,-0.0453869199243609,regime_lgbm_hmm_guided_hmm,-0.5517720371922891,regime_lgbm_hmm_guided_hmm,-0.18699049970528514,8,12466
bear,0.05,5,regime_lgbm_hmm_guided_hmm,0.05064704915306511,regime_lgbm_hmm_guided_hmm,1.1483648429299027,regime_lgbm_hmm_guided_hmm,-0.31869789683931427,regime_lgbm_hmm_guided_hmm,2.2647081556394886,8,6684
all,0.05,10,regime_lgbm_hmm_guided_hmm,0.01613860822343081,regime_lgbm_hmm_guided_hmm,0.0989498157553055,regime_lgbm_hmm_guided_hmm,-0.6141311494707763,regime_lgbm_hmm_guided_hmm,0.030554984561026677,8,25920
bull,0.05,10,regime_lgbm_contrastive,0.016273921336066668,regime_lgbm_kmeans,0.2904503925460531,global_lgbm,-0.26973996982353426,regime_lgbm_kmeans,0.1550824197537768,8,6770
sideways,0.05,10,regime_lgbm_hmm_guided_hmm,0.004358914007831473,regime_lgbm_hmm_guided_hmm,-0.33060346486233094,regime_lgbm_hmm_guided_hmm,-0.6088134696395585,regime_lgbm_hmm_guided_hmm,-0.4656370089191597,8,12466
bear,0.05,10,regime_lgbm_hmm_guided_hmm,0.05064704915306511,regime_lgbm_hmm_guided_hmm,1.0183734992377336,regime_lgbm_hmm_guided_hmm,-0.32113620211252775,regime_lgbm_hmm_guided_hmm,1.8030210309231114,8,6684
all,0.05,20,regime_lgbm_hmm_guided_hmm,0.01613860822343081,regime_lgbm_hmm_guided_hmm,-0.450703699911267,regime_lgbm_hmm_guided_hmm,-0.7673266951381561,regime_lgbm_hmm_guided_hmm,-0.6553061485088636,8,25920
bull,0.05,20,regime_lgbm_contrastive,0.016273921336066668,global_lgbm,-0.14158958735697555,global_lgbm,-0.3486737368028746,global_lgbm,-0.11294560290912148,8,6770
sideways,0.05,20,regime_lgbm_hmm_guided_hmm,0.004358914007831473,regime_lgbm_hmm_guided_hmm,-0.8995467877576097,regime_lgbm_hmm_guided_hmm,-0.8045096993194358,regime_lgbm_hmm_guided_hmm,-0.7692307783830901,8,12466
bear,0.05,20,regime_lgbm_hmm_guided_hmm,0.05064704915306511,regime_lgbm_hmm_guided_hmm,0.7583731747673688,regime_lgbm_hmm_guided_hmm,-0.3259890661167909,regime_lgbm_hmm_guided_hmm,1.0660581551800465,8,6684
all,0.07,5,regime_lgbm_hmm_guided_hmm,0.014607312419757844,regime_lgbm_hmm_guided_hmm,0.36190398306627686,regime_lgbm_hmm_guided_hmm,-0.5271385633486817,regime_lgbm_hmm_guided_hmm,0.7161137127233741,8,25920
bull,0.07,5,regime_lgbm_kmeans,0.01684143709048363,regime_lgbm_kmeans,0.5757883047198982,global_lgbm,-0.20385022254952612,regime_lgbm_kmeans,0.39950477268769924,8,6770
sideways,0.07,5,regime_lgbm_contrastive_hmm,0.004202945285416903,regime_lgbm_hmm_guided_hmm,-0.03723020412809497,regime_lgbm_hmm_guided_hmm,-0.5359057383942113,regime_lgbm_hmm_guided_hmm,-0.1691770055179712,8,12466
bear,0.07,5,regime_lgbm_hmm_guided_hmm,0.044419344476283186,regime_lgbm_hmm_guided_hmm,1.0583813641754505,regime_lgbm_hmm_guided_hmm,-0.37582508629621086,regime_lgbm_hmm_guided_hmm,1.8690636058238708,8,6684
all,0.07,10,regime_lgbm_hmm_guided_hmm,0.014607312419757844,regime_lgbm_hmm_guided_hmm,0.08847816219131696,regime_lgbm_hmm_guided_hmm,-0.5930598059955067,regime_lgbm_hmm_guided_hmm,0.014246031390735547,8,25920
bull,0.07,10,regime_lgbm_kmeans,0.01684143709048363,regime_lgbm_kmeans,0.351608101421341,global_lgbm,-0.23806859241047398,regime_lgbm_kmeans,0.20081119448548446,8,6770
sideways,0.07,10,regime_lgbm_contrastive_hmm,0.004202945285416903,regime_lgbm_hmm_guided_hmm,-0.31967805202149996,regime_lgbm_hmm_guided_hmm,-0.5914068962859144,regime_lgbm_hmm_guided_hmm,-0.44498249749333285,8,12466
bear,0.07,10,regime_lgbm_hmm_guided_hmm,0.044419344476283186,regime_lgbm_hmm_guided_hmm,0.9289544704435971,regime_lgbm_hmm_guided_hmm,-0.37775367078355865,regime_lgbm_hmm_guided_hmm,1.4744634337044293,8,6684
all,0.07,20,regime_lgbm_hmm_guided_hmm,0.014607312419757844,regime_lgbm_hmm_guided_hmm,-0.45729028538856975,regime_lgbm_hmm_guided_hmm,-0.7505650828985665,regime_lgbm_hmm_guided_hmm,-0.6458281691879395,8,25920
bull,0.07,20,regime_lgbm_kmeans,0.01684143709048363,global_lgbm,0.023689630409075953,global_lgbm,-0.3159950831010355,global_lgbm,-0.02438585333656418,8,6770
sideways,0.07,20,regime_lgbm_contrastive_hmm,0.004202945285416903,regime_lgbm_hmm_guided_hmm,-0.883038802770432,global_lgbm,-0.7846045495646078,regime_lgbm_hmm_guided_hmm,-0.7523868357068138,8,12466
bear,0.07,20,regime_lgbm_hmm_guided_hmm,0.044419344476283186,regime_lgbm_hmm_guided_hmm,0.6701036105782595,regime_lgbm_hmm_guided_hmm,-0.38159446614524695,regime_lgbm_hmm_guided_hmm,0.8404232985454712,8,6684
all,0.1,5,regime_lgbm_hmm_guided_hmm,0.01298657985834884,regime_lgbm_hmm_guided_hmm,0.30908128327927775,global_lgbm,-0.5191253378148316,regime_lgbm_hmm_guided_hmm,0.5362287163403132,8,25920
bull,0.1,5,global_lgbm,0.01543582313498104,global_lgbm,0.6545358947314259,global_lgbm,-0.17979657601973842,global_lgbm,0.3585417641759807,8,6770
sideways,0.1,5,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_hmm_guided_hmm,-0.11858909158497072,regime_lgbm_contrastive_hmm,-0.4722814140991918,regime_lgbm_hmm_guided_hmm,-0.24138258959159098,8,12466
bear,0.1,5,regime_lgbm_hmm_guided_hmm,0.04156598182893219,regime_lgbm_hmm_guided_hmm,1.0260854148488443,regime_lgbm_hmm_guided_hmm,-0.375825086296211,regime_lgbm_hmm_guided_hmm,1.7295295086300966,8,6684
all,0.1,10,regime_lgbm_hmm_guided_hmm,0.01298657985834884,regime_lgbm_hmm_guided_hmm,0.047362455271060824,global_lgbm,-0.5956093992684759,regime_lgbm_hmm_guided_hmm,-0.05642287300377291,8,25920
bull,0.1,10,global_lgbm,0.01543582313498104,global_lgbm,0.5017174330492791,global_lgbm,-0.1889606168903774,global_lgbm,0.25516411963398933,8,6770
sideways,0.1,10,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_hmm_guided_hmm,-0.39194027115774477,regime_lgbm_contrastive_hmm,-0.5657304458659231,regime_lgbm_hmm_guided_hmm,-0.4747200177068679,8,12466
bear,0.1,10,regime_lgbm_hmm_guided_hmm,0.04156598182893219,regime_lgbm_hmm_guided_hmm,0.9025997529316572,regime_lgbm_hmm_guided_hmm,-0.3777536707835588,regime_lgbm_hmm_guided_hmm,1.375127200361188,8,6684
all,0.1,20,regime_lgbm_hmm_guided_hmm,0.01298657985834884,regime_lgbm_hmm_guided_hmm,-0.4750303208772622,global_lgbm,-0.7154655095399725,global_lgbm,-0.6070682257915243,8,25920
bull,0.1,20,global_lgbm,0.01543582313498104,global_lgbm,0.19616803775496194,global_lgbm,-0.23059793873838272,global_lgbm,0.07135960541602282,8,6770
sideways,0.1,20,regime_lgbm_contrastive_hmm,0.004623636377122459,regime_lgbm_hmm_guided_hmm,-0.9368036313295205,global_lgbm,-0.7359930777390835,global_lgbm,-0.7276873070839993,8,12466
bear,0.1,20,regime_lgbm_hmm_guided_hmm,0.04156598182893219,regime_lgbm_hmm_guided_hmm,0.6556162144108568,regime_lgbm_hmm_guided_hmm,-0.3815944661452469,regime_lgbm_hmm_guided_hmm,0.7982255660517465,8,6684
