metric,method,wins
IC,regime_lgbm_hmm_guided_hmm,3
IC,global_lgbm,2
IC,regime_lgbm_kmeans,1
IC,regime_lgbm_hmm_guided_gmm,1
IC,regime_lgbm_contrastive_hmm,1
IC,regime_lgbm_vol_bucket,1
Sharpe,regime_lgbm_hmm_guided_hmm,2
Sharpe,regime_lgbm_contrastive,2
Sharpe,regime_lgbm_vol_bucket,2
Sharpe,regime_lgbm_contrastive_hmm,1
Sharpe,regime_lgbm_hmm,1
Sharpe,global_lgbm,1
drawdown,regime_lgbm_hmm_guided_gmm,2
drawdown,regime_lgbm_hmm_guided_hmm,2
drawdown,regime_lgbm_vol_bucket,2
drawdown,regime_lgbm_hmm,2
drawdown,regime_lgbm_contrastive,1
