comparison,metric,direction,mean_difference,cohen_dz,effect_size,primary_p_value,bh_q_by_metric,holm_p_by_metric,bh_q_all_tests,holm_p_all_tests,claim_status,p_value_source,n_paired_folds,n_paired_rows
regime_lgbm_contrastive vs global_lgbm,IC,reference_better,-0.014286885563005197,-0.35236970526647754,small,0.15325160939507232,0.7166976180572107,1.0,0.3960697362947743,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,IC,reference_better,-0.01330327620277822,-0.35207252245251613,small,0.15357806101225943,0.7166976180572107,1.0,0.3960697362947743,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm vs global_lgbm,IC,method_better,0.006261067736409599,0.2702515905794432,small,0.2674377930306088,0.7185844687463022,1.0,0.5435925182600341,1.0,not_significant,paired_t,18.0,
global_lgbm vs regime_lgbm_hmm,IC,reference_better,-0.006261067736409599,-0.2702515905794432,small,0.2674377930306088,0.7185844687463022,1.0,0.5435925182600341,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,IC,reference_better,-0.0121017893197465,-0.2477258691976246,small,0.3079647723198438,0.7185844687463022,1.0,0.5761410006361004,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,IC,method_better,0.008460347095985914,0.21218898583333873,small,0.38056787323566343,0.7234316568124137,1.0,0.6291958526036248,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,IC,reference_better,-0.007042208466368623,-0.19763442733028272,tiny,0.4133895181785221,0.7234316568124137,1.0,0.6412129766621787,1.0,not_significant,paired_t,18.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,IC,reference_better,-0.005409350549472998,-0.1439734781864718,tiny,0.5493941732876786,0.7945642216701962,1.0,0.7330861818118282,1.0,not_significant,paired_t,18.0,
regime_lgbm_kmeans vs global_lgbm,IC,method_better,0.003952917438273903,0.12868094655283516,tiny,0.5921953127172331,0.7945642216701962,1.0,0.7474924653574058,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive_hmm vs global_lgbm,IC,reference_better,-0.005840721583336899,-0.11757250072927279,tiny,0.6243004598837256,0.7945642216701962,1.0,0.764768063357564,1.0,not_significant,paired_t,18.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,IC,reference_better,-0.0023081502981356977,-0.06329037257682223,tiny,0.7915317099016114,0.8624050461357259,1.0,0.8719873244261229,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,IC,method_better,0.0021992793595763164,0.06040748496642183,tiny,0.8008046856974598,0.8624050461357259,1.0,0.8719873244261229,1.0,not_significant,paired_t,18.0,
regime_lgbm_vol_bucket vs global_lgbm,IC,method_better,0.000851717186936603,0.021648138899344565,tiny,0.9278945913281116,0.9278945913281115,1.0,0.9602532554791493,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,IC,reference_better,-0.0205479532994148,-0.5411151804637984,medium,0.034679423444929504,0.48551192822901307,0.48551192822901307,0.12137798205725327,1.0,raw_only_suggestive,paired_t,18.0,
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,Sharpe,method_better,0.5351958333724222,0.35530166506698796,small,0.15006162371762977,0.8329201756839664,1.0,0.3960697362947743,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_hmm vs global_lgbm,Sharpe,method_better,0.5568523479260512,0.31336793913891525,small,0.20124670442672438,0.8329201756839664,1.0,0.4586552798562556,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_gmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.49743103469849204,-0.2777664380507607,small,0.2548448466306125,0.8329201756839664,1.0,0.5435925182600341,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm_guided_gmm vs global_lgbm,Sharpe,reference_better,-0.47577452014486304,-0.2725732937079244,small,0.26349830844087857,0.8329201756839664,1.0,0.5435925182600341,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive vs regime_lgbm_hmm,Sharpe,reference_better,-0.42904451317141684,-0.2458206188263557,small,0.31158645952768693,0.8329201756839664,1.0,0.5761410006361004,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,Sharpe,reference_better,-0.34744314928263853,-0.1941813442147294,tiny,0.4214378164757665,0.8329201756839664,1.0,0.6412129766621787,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive vs global_lgbm,Sharpe,reference_better,-0.4073879986177878,-0.1739883905461172,tiny,0.4704793570588324,0.8329201756839664,1.0,0.6881638356979937,1.0,not_significant,paired_t,18.0,
regime_lgbm_contrastive_hmm vs global_lgbm,Sharpe,reference_better,-0.3257866347290096,-0.1378688311449174,tiny,0.5662795853442739,0.8329201756839664,1.0,0.7399386581831845,1.0,not_significant,paired_t,18.0,
regime_lgbm_vol_bucket vs regime_lgbm_hmm,Sharpe,reference_better,-0.25655620020798875,-0.12780299237900927,tiny,0.5947025061337644,0.8329201756839664,1.0,0.7474924653574058,1.0,not_significant,paired_t,18.0,
regime_lgbm_vol_bucket vs global_lgbm,Sharpe,reference_better,-0.23489968565435979,-0.12771888085151442,tiny,0.5949429826314045,0.8329201756839664,1.0,0.7474924653574058,1.0,not_significant,paired_t,18.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,Sharpe,reference_better,-0.15925013471114133,-0.08718110801093398,tiny,0.716040849409114,0.8949569007737449,1.0,0.8224525334009932,1.0,not_significant,paired_t,18.0,
regime_lgbm_kmeans vs global_lgbm,Sharpe,reference_better,-0.1375936201575124,-0.07093347033969817,tiny,0.7671059149489242,0.8949569007737449,1.0,0.8640963179884433,1.0,not_significant,paired_t,18.0,
regime_lgbm_hmm vs global_lgbm,Sharpe,method_better,0.021656514553629064,0.011920768589194136,tiny,0.9602532554791492,0.9602532554791493,1.0,0.9602532554791493,1.0,not_significant,paired_t,18.0,
global_lgbm vs regime_lgbm_hmm,Sharpe,reference_better,-0.021656514553629064,-0.011920768589194136,tiny,0.9602532554791492,0.9602532554791493,1.0,0.9602532554791493,1.0,not_significant,paired_t,18.0,
regime_lgbm_kmeans vs regime_lgbm_hmm,nll_loss,method_better,-0.002719549800485057,,row_loss,0.38538192053361675,0.4150266836515873,0.7707638410672335,0.6291958526036248,1.0,not_significant,dm_newey_west,,25920.0
regime_lgbm_contrastive vs regime_lgbm_hmm,nll_loss,reference_better,0.0024780650217780305,,row_loss,0.5126869650120729,0.5126869650120729,0.7707638410672335,0.7137900483180158,1.0,not_significant,dm_newey_west,,25920.0
regime_lgbm_hmm_guided_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.007687966866593788,,row_loss,0.004360937495838891,0.005550284085613134,0.017443749983355565,0.020351041647248158,0.3401531246754335,survives_bh_all_tests,dm_newey_west,,25920.0
regime_lgbm_contrastive_hmm vs regime_lgbm_hmm,nll_loss,reference_better,0.009140585774056909,,row_loss,0.022121435000129204,0.025808340833484072,0.06636430500038762,0.08671602520050647,1.0,survives_bh_metric_family,dm_newey_west,,25920.0
regime_lgbm_vol_bucket vs global_lgbm,nll_loss,reference_better,0.052632694899356444,,row_loss,3.1033922507122084e-64,4.3447491509970915e-63,4.3447491509970915e-63,3.041324405697964e-62,3.041324405697964e-62,survives_holm_all_tests,dm_newey_west,,25920.0
regime_lgbm_hmm_guided_gmm vs global_lgbm,nll_loss,reference_better,0.047959621599997934,,row_loss,2.8444983263082694e-53,1.9911488284157886e-52,3.69784782420075e-52,1.393804179891052e-51,2.7591633765190214e-51,survives_holm_all_tests,dm_newey_west,,25920.0
regime_lgbm_hmm_guided_hmm vs global_lgbm,nll_loss,reference_better,0.045433481204962975,,row_loss,1.8566939054950275e-45,8.664571558976794e-45,2.228032686594033e-44,6.065200091283757e-44,1.7824261492752264e-43,survives_holm_all_tests,dm_newey_west,,25920.0
regime_lgbm_contrastive_hmm vs global_lgbm,nll_loss,reference_better,0.04688610011242609,,row_loss,4.241715488148446e-43,1.484600420851956e-42,4.6658870369632904e-42,1.0392202945963691e-41,4.029629713741023e-41,survives_holm_all_tests,dm_newey_west,,25920.0
regime_lgbm_hmm vs global_lgbm,nll_loss,reference_better,0.03774551433836919,,row_loss,6.10862430780068e-42,1.4253456718201587e-41,6.10862430780068e-41,9.977419702741111e-41,5.74210684933264e-40,survives_holm_all_tests,dm_newey_west,,25920.0
global_lgbm vs regime_lgbm_hmm,nll_loss,method_better,-0.03774551433836919,,row_loss,6.10862430780068e-42,1.4253456718201587e-41,6.10862430780068e-41,9.977419702741111e-41,5.74210684933264e-40,survives_holm_all_tests,dm_newey_west,,25920.0
