market_period,threshold,transaction_cost_bps,best_signal_ic_method,best_signal_ic,best_sharpe_method,best_sharpe,lowest_drawdown_method,lowest_drawdown,best_return_method,best_total_return,methods_tested,n_test_rows_per_method
all,0.03,5,regime_lgbm_hmm,0.0042256567957749454,regime_lgbm_hmm,-0.09820121306892836,global_lgbm,-0.6424991033976218,regime_lgbm_hmm,-0.28473607455146244,6,25920
bull,0.03,5,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,0.5498535546531506,regime_lgbm_kmeans,-0.28274550143773713,regime_lgbm_kmeans,0.3953144093537253,6,6770
sideways,0.03,5,regime_lgbm_contrastive_hmm,0.0020674129926345165,regime_lgbm_contrastive_hmm,-0.34705556713580776,regime_lgbm_contrastive_hmm,-0.5872372217222162,regime_lgbm_contrastive_hmm,-0.4526764829846813,6,12466
bear,0.03,5,regime_lgbm_hmm,0.028238263743850977,regime_lgbm_hmm,0.6171110863251259,regime_lgbm_hmm,-0.46681772121877557,regime_lgbm_hmm,0.6943808804828482,6,6684
all,0.03,10,regime_lgbm_hmm,0.0042256567957749454,regime_lgbm_hmm,-0.38086158539057235,global_lgbm,-0.7236459997069041,regime_lgbm_hmm,-0.5803126543168227,6,25920
bull,0.03,10,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,0.31818038807365145,regime_lgbm_kmeans,-0.30580245011805757,regime_lgbm_kmeans,0.18041563934604588,6,6770
sideways,0.03,10,regime_lgbm_contrastive_hmm,0.0020674129926345165,regime_lgbm_contrastive_hmm,-0.6373803900703761,regime_lgbm_contrastive_hmm,-0.6703695152362347,regime_lgbm_contrastive_hmm,-0.6336065331669003,6,12466
bear,0.03,10,regime_lgbm_hmm,0.028238263743850977,regime_lgbm_hmm,0.49157074782637383,regime_lgbm_hmm,-0.47008250234063,regime_lgbm_hmm,0.4780118338556796,6,6684
all,0.03,20,regime_lgbm_hmm,0.0042256567957749454,regime_lgbm_hmm,-0.9449626127266285,global_lgbm,-0.8348862253280014,global_lgbm,-0.8071083681959351,6,25920
bull,0.03,20,regime_lgbm_kmeans,0.01748295723359782,regime_lgbm_kmeans,-0.14514228899624643,regime_lgbm_kmeans,-0.4050211897012131,regime_lgbm_kmeans,-0.15528744299688257,6,6770
sideways,0.03,20,regime_lgbm_contrastive_hmm,0.0020674129926345165,regime_lgbm_contrastive_hmm,-1.2158221010385437,regime_lgbm_contrastive_hmm,-0.8379054575712085,regime_lgbm_contrastive_hmm,-0.8358577204188828,6,12466
bear,0.03,20,regime_lgbm_hmm,0.028238263743850977,regime_lgbm_hmm,0.2403528805137294,regime_lgbm_hmm,-0.4777538416113972,regime_lgbm_hmm,0.124521220723802,6,6684
all,0.05,5,regime_lgbm_hmm,0.0049423582822436295,regime_lgbm_hmm,-0.06241327597577443,global_lgbm,-0.6039173821871597,regime_lgbm_hmm,-0.2268201877559003,6,25920
bull,0.05,5,regime_lgbm_contrastive,0.016273921336066668,regime_lgbm_kmeans,0.5167778898467525,global_lgbm,-0.24006411031464886,regime_lgbm_kmeans,0.35565781470349256,6,6770
sideways,0.05,5,regime_lgbm_contrastive_hmm,0.002274970941404802,regime_lgbm_contrastive_hmm,-0.3560595739616811,regime_lgbm_contrastive_hmm,-0.5966721498373142,regime_lgbm_contrastive_hmm,-0.4548622513064271,6,12466
bear,0.05,5,regime_lgbm_hmm,0.032010549582739044,regime_lgbm_hmm,0.6805634950732208,regime_lgbm_hmm,-0.46681772121877557,regime_lgbm_hmm,0.805918158211381,6,6684
all,0.05,10,regime_lgbm_hmm,0.0049423582822436295,regime_lgbm_hmm,-0.3404628502108156,global_lgbm,-0.6883972816511276,regime_lgbm_hmm,-0.536381034564162,6,25920
bull,0.05,10,regime_lgbm_contrastive,0.016273921336066668,regime_lgbm_kmeans,0.2904503925460531,global_lgbm,-0.26973996982353426,regime_lgbm_kmeans,0.1550824197537768,6,6770
sideways,0.05,10,regime_lgbm_contrastive_hmm,0.002274970941404802,regime_lgbm_contrastive_hmm,-0.6385466184770596,regime_lgbm_contrastive_hmm,-0.6755231966786159,regime_lgbm_contrastive_hmm,-0.6294626526212144,6,12466
bear,0.05,10,regime_lgbm_hmm,0.032010549582739044,regime_lgbm_hmm,0.5585893252195904,regime_lgbm_hmm,-0.4691873484351118,regime_lgbm_hmm,0.5839312067698406,6,6684
all,0.05,20,regime_lgbm_hmm,0.0049423582822436295,regime_lgbm_hmm,-0.8950156768546372,global_lgbm,-0.8071679366797875,global_lgbm,-0.7694659386774098,6,25920
bull,0.05,20,regime_lgbm_contrastive,0.016273921336066668,global_lgbm,-0.14158958735697555,global_lgbm,-0.3486737368028746,global_lgbm,-0.11294560290912148,6,6770
sideways,0.05,20,regime_lgbm_contrastive_hmm,0.002274970941404802,regime_lgbm_contrastive_hmm,-1.201355766215375,global_lgbm,-0.812013989096783,global_lgbm,-0.8057478235748674,6,12466
bear,0.05,20,regime_lgbm_hmm,0.032010549582739044,regime_lgbm_hmm,0.3145944443391236,regime_lgbm_hmm,-0.47634224238049466,regime_lgbm_hmm,0.21834979627185103,6,6684
