symbol,horizon,label_type,source_rows,target_rows,missing_rows,expected_horizon_loss,neutral_pct,down_pct,up_pct
BTCUSDT,4h,dir,17460,17436,24,24,0.2603808212892865,0.3608052305574673,0.37881394815324615
BTCUSDT,4h,tb,17460,17436,24,24,0.6343197981188345,0.18335627437485663,0.1823239275063088
BTCUSDT,8h,dir,17460,17436,24,24,0.24971323698095893,0.36459050240880936,0.3856962606102317
BTCUSDT,8h,tb,17460,17436,24,24,0.582702454691443,0.20916494608855243,0.2081325992200046
BTCUSDT,24h,dir,17460,17436,24,24,0.23606331727460428,0.3714728148657949,0.3924638678596008
BTCUSDT,24h,tb,17460,17436,24,24,0.48474420738701535,0.25550584996558845,0.2597499426473962
ETHUSDT,4h,dir,17460,17436,24,24,0.25820142234457444,0.3644184445973847,0.37738013305804086
ETHUSDT,4h,tb,17460,17436,24,24,0.6412594631796283,0.18255333792154163,0.17618719889883
ETHUSDT,8h,dir,17460,17436,24,24,0.24483826565726083,0.3727919247533838,0.38236980958935535
ETHUSDT,8h,tb,17460,17436,24,24,0.5836774489561826,0.21031199816471668,0.20601055287910072
ETHUSDT,24h,dir,17460,17436,24,24,0.23348245010323468,0.38007570543702685,0.38644184445973845
ETHUSDT,24h,tb,17460,17436,24,24,0.49093828859830235,0.25349850883230096,0.25556320256939663
